created_at,text
Sun Jun 10 23:55:32 +0000 2012,Pool's warm. #Babypee
Sat Jun 02 16:40:57 +0000 2012,"@haninzhh @asilahsaiful but I still love babypee the most, without a doubt. Marty kalah hahahaha"
