created_at,text
Thu Aug 16 19:54:56 +0000 2018,Send me jailbait pics and videos and I’ll send my jailbait pics too:)
Tue Aug 28 20:25:47 +0000 2018,Anybody wanna #wankchat over my #jailbait sis or gf or #roleplay dm me #jailbait #wankchat #cocktribute #cumtribute #incest #young
Sat Aug 25 16:16:07 +0000 2018,RT @LizaToply: Retweet for my ass and like for my tits . #cumtribute #jailbait #teenwhore #cumslut #hornyteen #smaltits #jailbait #hornytee…
Wed Aug 22 15:24:51 +0000 2018,"RT @Becca94905237: #horny #nudes #cocktribute #cumslut #hornydm #jailbait #wanktribute #hornyuk #dirtygirl #milf #sex #sext #jailbait 

Whe…"
Wed Aug 08 21:34:17 +0000 2018,Retweet for more hot &amp; juicy jailbait asses and nubile flesh 😈💦💦 #teen #bikini #ass #jailbait #slut #whore… https://t.co/o9p1BOezop
Wed Aug 08 04:21:25 +0000 2018,RT @bustymo: I need that Rn 👅 #bbw #babe #teen #jailbait #cumtributeِ #cocktribute #horny #xxx #jailbait #teen #dm #kik #retweet #thick htt…
Tue Aug 07 22:12:17 +0000 2018,@WiIdLilys for being a jailbait
Tue Aug 14 19:33:17 +0000 2018,I miss my jailbait /:
Sat Aug 11 01:00:40 +0000 2018,hey BITCH @jailbaited
Sun Aug 19 01:59:56 +0000 2018,Mad jailbait bro
Fri Aug 24 14:52:12 +0000 2018,@MLKPICKS That's jailbait lmao
Sun Aug 12 12:22:20 +0000 2018,@jailbaited This tweet right here
Wed Aug 08 17:34:32 +0000 2018,@jailbaited get me a pink one
Wed Aug 29 23:49:23 +0000 2018,@raccten @jailbaited Ya’ll are wild
Tue Aug 28 02:12:44 +0000 2018,@jailbaited harambe 🙏🦍 never forget
Wed Aug 22 16:11:19 +0000 2018,@BLABBERMOUTHNET Was he playing cheese cake? Or jailbait?
Thu Aug 09 21:45:31 +0000 2018,Killed off all the jailbait twitter hoes lmao
Tue Aug 21 04:33:18 +0000 2018,Trade  #Jailbait #dropbox links? Anyone? I got a few
