created_at,text
Sun May 25 20:33:50 +0000 2014,when jailbait do jailbait-y stuff and don't know they're being jailbait-y http://t.co/fmhxudAFoH
Sun May 04 20:28:19 +0000 2014,@bryceortz Lol almost. But I'm pretty sure most are jailbait. Sexy jailbait. But jailbait none the less lol
Thu May 08 20:32:44 +0000 2014,SHE WAS JAILBAIT.
Sat May 17 19:24:47 +0000 2014,"@Krystan_Brooks @jack_sims don't forget jailbait, he loves jailbait"
Thu May 01 20:50:19 +0000 2014,@KeelWilson77 you're jailbait ya jailbait cunt ye
Mon May 19 01:46:15 +0000 2014,Too old for me . #jailbait
Fri May 30 10:21:40 +0000 2014,So... Much... Jailbait
Wed May 21 03:37:21 +0000 2014,@lizunyaborisenk do you mean Jailbait?
Sun May 25 14:20:39 +0000 2014,WHAT THE FUCK IS JAILBAIT EW
Sat May 10 19:08:41 +0000 2014,Never watch Jailbait on netflix
Sun May 18 21:34:56 +0000 2014,@bethybabygirl hot piece of jailbait
Fri May 16 05:30:41 +0000 2014,“@Katie_isFF: I'm not jailbait 😒” 😴💤💤
Fri May 30 01:02:27 +0000 2014,@chvnelashley Still a younging. #jailbait
Wed May 21 23:41:33 +0000 2014,@naomiandersonx so jailbait the heavy bottom
Sun May 25 23:20:20 +0000 2014,@jailbait mistake many sorries :)
Fri May 09 21:20:42 +0000 2014,I spy Brewer cheerleaders. #Jailbait
Sat May 31 08:36:58 +0000 2014,@HatingOnHayden_ lol still jailbait
Wed May 14 01:45:04 +0000 2014,@SonjatMorgan Austin is way too young #jailbait
Sun May 18 21:59:10 +0000 2014,@josh3042 @Rollingg_Stoned nigga you jailbait still
Sun May 18 18:08:31 +0000 2014,why are there so many jailbaits on my twitter line being retweeted?
Sun May 18 15:46:07 +0000 2014,"""You're so famous in jail... Watch out jailbait!"" 😳😂😂"
Thu May 08 22:24:25 +0000 2014,RT @GreggoSandsMP: Off private again. Jailbait territory
Sun May 11 20:49:32 +0000 2014,Ariana Grande looks like jailbait
Fri May 02 18:07:19 +0000 2014,"sisters having a party, roll up for jailbait x"
Mon May 05 02:40:38 +0000 2014,"i think i'm rlly gonna miss being ""jailbait"""
Mon May 05 21:02:00 +0000 2014,My mom just called me jailbait 😂😂😂
Fri May 09 21:40:11 +0000 2014,If you look like you haven't ever had acne before you jailbait.
Tue May 20 16:26:31 +0000 2014,"""I'M JAILBAIT! RAPE ME, SEE WHAT HAPPENS!"" -name witheld"
Wed May 21 02:08:18 +0000 2014,Watching this movie Jailbait pretty good so far
Thu May 29 18:32:07 +0000 2014,"""@deepeeseemee: @coledm33 😂😂😂💁""I VOLUNTEER #JailBait lmao"
Tue May 27 22:50:20 +0000 2014,@oliveosun thought u said u was jailbait?
Sun May 04 03:17:17 +0000 2014,"@yajairrra since you like chicks, Jailbait haha"
Thu May 22 23:40:51 +0000 2014,RT @stephantolaa: @JesslyAlfaro this movie jailbait is crazzzyyy😳😳
Wed May 28 07:27:29 +0000 2014,@SmashMyBooty Why the hell would we look if it could be jailbait?  Ahhh no thanks
Sun Jun 01 05:15:22 +0000 2014,So tired of being called jailbait-.- like stop. I get it.
Sat May 10 23:00:26 +0000 2014,#perfect #teen #jailbait http://t.co/xeoEL9rWh4
Sun May 11 04:12:17 +0000 2014,"Public enemy number oneeeeee, jailbait and a smoking gunnnnnnnnn"
Sun May 11 23:43:47 +0000 2014,Not sure if I'm supposed to make fun of all the jailbait here or all the drunk moms.....
Fri May 02 20:49:30 +0000 2014,#jailbait #flash #pussy http://t.co/SAcblzrNk7
Sun May 04 15:00:59 +0000 2014,@324b21_ UR IN DENIAL U PERVERTED JAILBAIT!!! XD
Tue May 27 13:08:51 +0000 2014,RT @SixSixSin: Justin Bieber is just overpaid jailbait
Sat May 03 20:33:02 +0000 2014,RT @handelparr: can't wait to drive and pick up bare jailbait
Fri May 30 19:37:41 +0000 2014,What are some good jailbait accounts? Tag a good one and I'll follow you
Fri May 23 03:04:04 +0000 2014,Yup :) #teen #jailbait http://t.co/6LMmCZ8qjE
Mon May 19 08:09:59 +0000 2014,#jailbait #public #shaven http://t.co/sjaDocKz7h
Wed May 28 17:48:21 +0000 2014,Perfection #teen #jailbait http://t.co/cKCZHTLimo
Wed May 28 20:57:01 +0000 2014,RT @IDateHoodRats: @FluffyMane this guy always checking out the jailbait
Sun May 25 18:56:13 +0000 2014,Got called jailbait today... Still not sure how I feel about it...
Fri May 09 17:20:21 +0000 2014,@CLewis_3 @RoboTravis @JakeCarter2 who gives a shit lol. #JailBait
Thu May 08 21:33:51 +0000 2014,Jailbait 003 (2014) link http://t.co/LjyGvCFG8J
Fri May 02 19:33:23 +0000 2014,"What the actual fuck
The jailbait added me http://t.co/X2erUMISyR"
Fri May 02 07:39:55 +0000 2014,RT @jailbaitalli: So horny xxxx http://t.co/3ktGrLO7AZ
Sat May 03 17:08:48 +0000 2014,RT @JailBabes: Stunning. #jailbait http://t.co/bEX5mT7yHT
Sun May 04 01:05:47 +0000 2014,Jailbait was like Orange Is The New Black except younger and crazier.
Fri May 30 19:44:49 +0000 2014,RT @JailBabes: Stunning. #jailbait http://t.co/bEX5mT7yHT
Sun May 25 21:14:13 +0000 2014,RT @doctor_julian: #jailbait #teen http://t.co/OwUdgHKlSn
Mon May 12 08:39:50 +0000 2014,“@uandandrew: Cutie #jailbait http://t.co/rGxbMJ57yP” hottie
Fri May 23 16:48:03 +0000 2014,RT @ytrewq316: For your pleasure #jailbait http://t.co/bC1YeZDtPp
Fri May 23 16:48:03 +0000 2014,RT @ytrewq316: For your pleasure #jailbait http://t.co/bC1YeZDtPp
Fri May 23 17:40:41 +0000 2014,"http://t.co/DdqtTHvqCQ""
#sexy hot body on this #jailbait"
Wed May 07 06:06:34 +0000 2014,RT @flem26: #jailbait #teens #tits http://t.co/Q9gR0auQBf
Wed May 14 03:00:12 +0000 2014,@xAbejaReina @TheDieseI @BLACKDlCK damn we #jailbait it's all good tho if your 20 I'm 20
Thu May 15 22:39:07 +0000 2014,"""@lekkerlyf_die: Jailbait! Who wants to eat that pusssy?? http://t.co/RyvSI8EmLv"""
Thu May 29 12:01:33 +0000 2014,RT @TitsTatsAssKink: RT if you think she's jailbait! http://t.co/IrBWR5cOnA
Sat May 03 15:54:01 +0000 2014,RT @ukgirlsxxx: #UkSluts #teen #jailbait http://t.co/6Dm7GY0ndW
Thu May 01 19:10:56 +0000 2014,Posing  #CleavageThursday #jailbait #bikini #cleavage http://t.co/cz22pSLloD
Tue May 20 00:37:00 +0000 2014,"Jailbait, no matter how hot and tantalizing, is never worth pursuing. Let that be a lesson to you all."
Mon May 19 06:41:07 +0000 2014,RT @RateMyGinger: RT if you think she's jailbait! http://t.co/ATeviP8Xve
Mon May 19 06:40:15 +0000 2014,RT @RateMyGinger: RT if you think she's jailbait! http://t.co/ATeviP8Xve
Fri May 23 12:46:47 +0000 2014,RT @ukgirlsxxx: #UkSluts #teen #jailbait http://t.co/jsZYshaGS7
Fri May 16 18:27:51 +0000 2014,RT @TalkToJust4You: #jailbait #teen #GirlfriendsBeLike http://t.co/hCrYogBYuo
Fri May 09 09:19:27 +0000 2014,If you have a younger sister tell them to watch out for @pikeymikey39 at leavers capones tonight #jailbait
Sat May 10 20:09:53 +0000 2014,RT @lovethemtiny: #jailbait #tiny #sexyasfuck #teens http://t.co/GXBpaoDMO6
Sat May 10 12:56:12 +0000 2014,#SexySaturday #jailbait #UkSluts @Only_Amateurs @thesexpedition @blondebigirl http://t.co/ngQIdSrJCx
Sun May 18 10:40:24 +0000 2014,"RT @xassxass: ""@PidsPorn: #teen #jailbait #tinytits http://t.co/uNvCV8IIwz"""
Fri May 09 05:15:46 +0000 2014,RT @lovethemtiny: #jailbait #tiny #sexyasfuck #teens http://t.co/GXBpaoDMO6
Sun May 11 15:27:36 +0000 2014,RT @secretlynoir: Young teen jailbait. Oh my! http://t.co/kSPtkUStLS
Mon May 26 08:49:21 +0000 2014,RT @hotmarcqc: Cute teen #jailbait #smallboobs http://t.co/OwpUpnQ6qr
Sat May 17 20:24:16 +0000 2014,RT @AaronsTwittah: Thought them Sweet Cheeks girls were like 19 😳😳😳😳😳 #jailbait
Thu May 29 17:42:36 +0000 2014,You mad jailbait or nah? 😂👏 @tgonza67 @priiscyyy http://t.co/cyNuS0YjbQ
Tue May 27 22:05:05 +0000 2014,RT @JailBabes: That tan tho #jailbait #ass http://t.co/yYh5EPvVb2
Sat May 03 09:14:52 +0000 2014,RT @JailBabes: That tan tho #jailbait #ass http://t.co/yYh5EPvVb2
Fri May 30 20:28:12 +0000 2014,RT @ukgirlsxxx: #TeenThursday #jailbait #schoolies #UkSluts http://t.co/BWEXOecYuQ
Thu May 29 04:18:28 +0000 2014,"RT @JailbaitTwit: Not jailbait, but my #wcw goes out to #selenagomez :) http://t.co/gded03CIVo"
Tue May 06 21:16:24 +0000 2014,"""@hiighhlife: @Viva_Dayx3 did u watch jailbait? It's the best !!!"" Really ? No i havent im about to though !!"
Tue May 06 18:27:19 +0000 2014,Jailbait (2013) - Movie2k - Watch Movies Online http://t.co/mAWAtPyCo6
Mon May 12 13:43:14 +0000 2014,Forever my favourite jailbait cr.Yuko http://t.co/8TcfmEyrLx #D200StillTeamB
Mon May 12 22:51:37 +0000 2014,"RT @amyoungteen2000: ""@johnjohnbigs: #jailbait #blowjob #deepthroat http://t.co/yeoi0mzWJr"""
Fri May 09 07:55:26 +0000 2014,RT @lovethemtiny: #jailbait #nsfw #Teen #tinytits http://t.co/7spcKVLXXZ
Tue May 13 19:30:45 +0000 2014,"@Cyra4ever3 I'm not taking anything to heart. I want to be left alone and you're not respecting that. Just piss off, jailbait."
Tue May 13 14:20:01 +0000 2014,RT @TalkToJust4You: hot #jailbait #teen #SelfieFriday #tits http://t.co/UH3K7oAZT9
Sun May 18 09:40:51 +0000 2014,@awesomeasyura YAAASSSS. I NEED TO SEE MY AMERITHAIKONG BOYS!! AND JB! AND JR! AND YUGEYOM THE JAILBAIT THAT HE IS! AND YOUNGJAE
Fri May 09 02:10:51 +0000 2014,"RT @dankayok: ""@lovethemtiny: #jailbait http://t.co/QNUx4DbXXS"" ""no"" said no one, ever."
Thu May 15 07:54:39 +0000 2014,RT @Gquagmire90: #selfiesunday #teen #youngyuss #jailbait @QTeaseDaily http://t.co/0wYVZijCeO
Wed May 21 01:51:55 +0000 2014,"RT @RockingRobyn__: JXW - jailbait. Lol I love you though, you're like a little brother to me 😘😚"
Sat May 17 13:16:12 +0000 2014,"“@_adean: ""@aishk_: why do i look so young fml""
Cos jailbait” Dean was this the girl you were telling me about 👀👀"
