created_at,text
Mon Sep 07 23:28:52 +0000 2015,Jailbait.
Sun Sep 20 11:21:36 +0000 2015,RT @barely_legal__: new jailbait    ... free camgirls with free signup http://t.co/3rfmBfieCc #jailbait http://t.co/E7sGRCBphr
Sat Sep 26 15:38:35 +0000 2015,JAILBAIT #bananasplit
Sun Sep 20 10:18:32 +0000 2015,Jailbait af
Sun Sep 20 07:19:01 +0000 2015,"Who did you trick, Jailbait?"
Sun Sep 20 22:55:55 +0000 2015,Jailbait slut
Sun Sep 06 02:36:46 +0000 2015,@GyozaStand JAILBAIT
Sun Sep 13 14:08:12 +0000 2015,"Who called it ""Jailbait"" and not ""A Minor Threat""?"
Sat Sep 05 20:19:06 +0000 2015,GOOGLING JAILBAIT HAS OPENED MY EYES
Wed Sep 09 01:28:51 +0000 2015,@BentleyPerv @janisb156 @putifacebook sexy jailbait
Sun Sep 27 22:32:27 +0000 2015,"@enthraIling @AGentlemansKiss ur daddy everywhere, jailbait"
Tue Sep 29 00:18:51 +0000 2015,"@c_bornstein @LiviRhoades @Tonyabruzz @DonaldHarkins_ @willproctor28 don't do it, it's jailbait"
Thu Sep 24 06:58:35 +0000 2015,She's too young for you if you pick her up from school and don't recognize any students. #JailBait
Sun Sep 13 00:40:08 +0000 2015,At a weird point in my life where a lot of people are jailbait.
Sun Sep 13 05:34:43 +0000 2015,"Look, it's jailbait and potential Klein booty. #SwordArtOnlineII"
Wed Sep 30 03:32:49 +0000 2015,RT @shedboyftd: Love jailbait chavs so much mmmmm
Mon Sep 28 03:30:57 +0000 2015,RT @maggiecurran_: Older guys can get it #jailbait
Tue Sep 01 20:58:26 +0000 2015,RT @maxerling: for them jailbaits  https://t.co/8sz8URsM2l
Sat Sep 19 13:27:07 +0000 2015,RT @mckaylaaf: jailbait https://t.co/C6V9BJNUa0
Mon Sep 07 21:02:03 +0000 2015,Damn jailbait I tell ya http://t.co/EgY6ETDw0u
Sat Sep 19 01:35:52 +0000 2015,On a boat #teens #tanlines #jailbait http://t.co/KIUMXpiv5z
Sun Sep 27 16:39:06 +0000 2015,Rt if you would bang this #jailbait girl! http://t.co/V7wX29VhxD
Mon Sep 21 17:47:19 +0000 2015,Lmao close enough ✌ #jailbait http://t.co/yLfBYrr5SO
Mon Sep 14 19:38:20 +0000 2015,Somebody who looks at you like jailbait.  https://t.co/ksLaYTAdZ8
Mon Sep 07 20:38:09 +0000 2015,RT @PharaohAk: Oooooo jailbait. 👋🏾 https://t.co/jh5izYiFQk
Wed Sep 02 09:52:45 +0000 2015,"My nick name from everyone is jailbait, nicki, Cole and big head 😂😂"
Tue Sep 22 22:47:11 +0000 2015,Purple teen #tanlines #teen #jailbait http://t.co/oYXNOOZUC3
Tue Sep 08 14:49:15 +0000 2015,Nope you cannot have my soul ✋ please go away #jailbait http://t.co/5OIywUAaaI
Fri Sep 11 22:25:46 +0000 2015,@SofaRacer @ianwheeler bollocks where's this waterfall? No I'm probably old enough to be his mother 😂 #Jailbait
Sun Sep 27 03:50:59 +0000 2015,Cassie cooper totally lying to get into bars at ECU.. #jailbait. be careful guys.
Sun Sep 27 17:07:21 +0000 2015,RT @hotgirls256: Rt if you would bang this #jailbait girl! http://t.co/AwHzrszn3z
Wed Sep 23 22:40:56 +0000 2015,RT @courtneh2002: What do you guys want to do to me #jailbait #cumslut http://t.co/d0YUj5pV9j
Wed Sep 09 16:25:12 +0000 2015,My hair is so much longer than back then #jailbait #cumtribute http://t.co/sPwKWgOiOM
Mon Sep 07 09:17:59 +0000 2015,RT @HornyTeeenn: I love nude selfies! #pussy #jailbait http://t.co/mW4rliI0xs
Tue Sep 08 13:30:09 +0000 2015,Barely Jailbait Centerfold Gets Rectal Drilled http://t.co/571K6RkZFh #ultvid
Wed Sep 09 00:42:22 +0000 2015,10 rt to see this true #jailbait #teen naked http://t.co/Anp992u6gD
