created_at,text
Sun Jun 09 22:01:03 +0000 2013,"""jailbait girly"" oh dear"
Sun Jun 09 18:01:19 +0000 2013,@SullyKWP ….oh yeah. I keep forgetting he’s jailbait. Oh @RetrocidoNegro~~~~~
Mon Jun 10 01:17:17 +0000 2013,No lie. Jailbait errwhere
Mon Jun 10 01:52:40 +0000 2013,@_LilReyes niggggga! HE IS JAILBAIT
Sun Jun 09 20:56:16 +0000 2013,That's like the 7th time I've been called jailbait this year -_- LMAO
Sun Jun 09 23:06:57 +0000 2013,@yoitsscarleyr @ebonyarney can the jailbait join😔
Mon Jun 10 02:05:18 +0000 2013,"We'll miss you JailBait @_Jaytits, had so many crazy memories with you!"
Mon Jun 10 02:07:11 +0000 2013,Glac when have you not been considered jailbait though?
Mon Jun 10 00:29:05 +0000 2013,RT @PartiesGuilty: Cute Russian teen #sexting #jailbait #titsouttuesday #tittytuesday #teen #nsfw #girlnextdoor #selfie http://t.co/QnpfIxQ…
Sun Jun 09 13:37:02 +0000 2013,RT @PartiesGuilty: Cute shy teen posing topless #jailbait #sexting #girlnextdoor http://t.co/fDW0SfWkPo
Sun Jun 09 16:50:32 +0000 2013,i've been labelled jailbait oops
Sun Jun 09 16:57:00 +0000 2013,"@grantsuperbus
Oh yes, you have free will...quite free.
Don't look at this jailbait...
http://t.co/V6rcpGsORq"
Sun Jun 16 07:47:53 +0000 2013,"Those were jailbait sluts, that were also butter faces #sprangbrahke"
Sun Jun 16 09:31:53 +0000 2013,06:31 da manhã e tem Jailbaits na TL
Sun Jun 16 23:57:50 +0000 2013,RT @liljaye985: “@LetMeJUNE_OnYAA: “@liljaye985: Shawty say she only 18🎤🎶” she lyin' cuhhh! She #JailBait! 😂”kml awwww man tryin to trick d…
Sun Jun 16 21:43:08 +0000 2013,There's too much #jailbait in jack and jill
Sun Jun 16 17:22:42 +0000 2013,@huangminhyun yes LOL! GUESS WHAT? (What?) he's our age! And younger than both of us! So is V. Jungguk is just jailbait born in 97.
Sun Jun 16 19:49:36 +0000 2013,"Fuck. Older man = my age. Arse. 
Still better than jailbait, eh?"
Sun Jun 23 22:42:54 +0000 2013,@Brianchick405 #jailbait
Sun Jun 23 18:33:51 +0000 2013,me too &lt;333 RT @aristaasr: I love my jailbait family ;~;
Sun Jun 23 21:11:58 +0000 2013,Some of these young girls that live by me now are...omg soooo hot. Wish I could fuck one of them or even get a blowjob. #jailbait  :-(
Sun Jun 23 19:20:04 +0000 2013,"I’m gonna have to be careful with this new kid, I’m starting to feel predatory and he’s only 17. #jailbait"
Sun Jun 23 13:38:05 +0000 2013,Jailbait jailbait jailbait jailbait jailbait jailbait jailbait jailbait jailbait
Sun Jun 23 16:30:46 +0000 2013,"@HVBookthongs @MsTequilaShots @survivor218 @Aaliyah92311 @JillyBean1217 @GeorgieHBC that kind of creeps me out! Haha, #jailbait"
Wed Jun 12 22:39:11 +0000 2013,thanks for treating me like an option jailbait. I really doubt it was easy to be friends with your ex's as they dislike you more than I do
Thu Jun 13 01:03:03 +0000 2013,I've decided to call @Luke5SOS Jailbait because he is jailbait. The struggle of being a 20+ year old
Thu Jun 13 04:55:38 +0000 2013,"@StephanieLynn67 I was @ the beach &amp; I told this guy how old I was, &amp; he's like ""youre jailbait."" I'm like 😂✋"
Wed Jun 12 07:09:40 +0000 2013,@queeropatra jailbait
Wed Jun 12 20:47:30 +0000 2013,No saying who from but #jailbait
Wed Jun 12 11:27:15 +0000 2013,#thingsihatemost immature jailbait girls
Wed Jun 12 23:26:17 +0000 2013,"@char_el Aye, the jailbait-ness of it does disappear, true."
Wed Jun 12 17:32:41 +0000 2013,Just thought of this picture #JailBait http://t.co/DI56NooFur
Wed Jun 12 17:40:12 +0000 2013,RT @CuteTeensDaily: #amatuercutie #kikslut #selfie #jailbait http://t.co/PCnrqHF32R”
Wed Jun 12 14:43:17 +0000 2013,RT @Myporngirl: Jailbait http://t.co/KIJjiK5iWp
Tue Jun 25 15:10:59 +0000 2013,Jailbait lookin ass
Tue Jun 25 22:51:30 +0000 2013,"So they made a night at city for Wednesdays. Hmmm. ""You hear that!? Jailbait quit going on Thursdays"" lmfao"
Tue Jun 25 22:21:49 +0000 2013,RT @Blacknecropolis: #sexy #teen #jailbait #tits #boobs #nipples http://t.co/KcGltelrS8
