created_at,text
Wed Sep 24 00:02:30 +0000 2014,JAILBAIT
Tue Sep 02 14:25:27 +0000 2014,"""@69NishaGulati69: Yoga is good in the morning #teen #jailbait younggirls  #jailbait http://t.co/W1eIhzCSkn"""
Tue Sep 23 02:28:26 +0000 2014,"RT @blznut: ""@TalkToJust4You: they're 13..... 😳😘 http://t.co/HsrTRn2nZz"" #JailBait teen selfshot #jailbait"" Yes they are, but cuties!"
Sat Sep 20 09:26:12 +0000 2014,RT @kik_jailbait: Sexy jailbait teen friends having fun in the changing room :) #teen #sexy #jailbait #underwear #handbra #kiknudes0 http:/…
Sun Sep 07 19:11:09 +0000 2014,"RT @Poptarts355: ""@kik_jailbait: Sexy brunette jailbait teen showing a great body in a black bikini #teen #sexy #brunette #jailbait http://…"
Sun Sep 07 12:03:57 +0000 2014,RT @kik_jailbait: Very sexy brunette jailbait teen :) #teen #sexy #brunette #jailbait #jb #cleavage #underwear #handbra #kiknudes0 http://t…
Sun Sep 14 01:05:00 +0000 2014,RT @kik_jailbait: Amazing body on this blond jailbait teen posing in her bikini #teen #blond #jailbait #sexy #bikini #kiknudes0 http://t.co…
Thu Sep 04 10:57:40 +0000 2014,RT @kik_jailbait: Left or right? 2 jailbait teens showing some nice ass in their bikinis. #teen #sexy #jailbait #bikini #ass #kiknudes0 htt…
Thu Sep 04 06:42:48 +0000 2014,RT @kik_jailbait: Cute blond jailbait teen showing some cleavage #teen #cute #blond #jailbait #cleavage #kiknudes0 http://t.co/9jmsmWg3Jo
Sun Sep 28 03:21:07 +0000 2014,RT @kik_jailbait: Another great cleavage shot on this cute jailbait teen #teen #cute #jailbait #cleavage #kiknudes0 http://t.co/sI8YDEtdNa
Thu Sep 04 05:42:04 +0000 2014,RT @iluvkia: “@kik_jailbait: Nice curvy jailbait teen in a bikini for a selfie :) #teen #jailbait #cuvy #bikini #kiknudes0 http://t.co/NNrI…
Tue Sep 16 18:46:52 +0000 2014,RT @kik_jailbait: Another great cleavage shot on this cute jailbait teen #teen #cute #jailbait #cleavage #kiknudes0 http://t.co/sI8YDEtdNa
Wed Sep 03 21:27:41 +0000 2014,RT @kik_jailbait: Sexy blond jailbait teen in a pink bikini #teen #blond #sexy #jailbait #jb #bikini #kiknudes0 http://t.co/J5DbXFpzPh
Mon Sep 08 19:41:24 +0000 2014,@abigailwrena @FayRazzzz jailbait
Mon Sep 15 20:13:04 +0000 2014,“@lou_the_trill1: #jailbait” everywhere
Tue Sep 09 00:17:01 +0000 2014,Justin Moorer is jailbait. Fack
Mon Sep 15 17:54:35 +0000 2014,Older guys love that jailbait.
Tue Sep 16 05:11:27 +0000 2014,@vonnsunshinee except mistys jailbait..
Thu Sep 04 05:12:32 +0000 2014,Influx of jailbait at the train station
Tue Sep 02 03:47:33 +0000 2014,23- cute but jailbait 😔
Sat Sep 06 21:04:44 +0000 2014,“@handymanny95: JAILBAIT NIGGA” that's all these bitches are
Sat Sep 06 23:01:02 +0000 2014,I have never seen that many jailbait before
Wed Sep 24 03:47:58 +0000 2014,@nadeom here is some jailbait for u @RLGRIME
Sun Sep 07 07:37:34 +0000 2014,"@chilldaze AND true jailbait, you like those too, let's not forget that"
Sat Sep 13 06:23:03 +0000 2014,@marcial_distor wait this is illegal!! scandalous!!! jailbAIT
Sun Sep 28 05:39:29 +0000 2014,@L1f3ru1n3r jailbait is not a blessing that shit is scary
Fri Sep 05 07:56:20 +0000 2014,Jailbait never followed me back 😫😩😔
Sun Sep 14 22:57:30 +0000 2014,“@RichHype_: 🌻 .... you are JAILBAIT” how tf wtf
Fri Sep 26 05:18:20 +0000 2014,..about to unfollow y'all jailbait ass (with a few exceptions)
Sun Sep 14 00:02:20 +0000 2014,You guys really truly worry me with your jailbait draws.
Tue Sep 23 03:43:32 +0000 2014,RT @7thwindowNQ: @JetsHoee @aliahmartinez jailbait warrior
Sat Sep 06 21:33:50 +0000 2014,RT @brukville: @basicwaifu jailbait alert @chrishansen
Tue Sep 16 11:20:22 +0000 2014,Some cute jailbaits http://t.co/QZjNhQrqBr
Thu Sep 18 19:19:31 +0000 2014,"Why are all the fit girls like 14/15, ffs #jailbait"
Mon Sep 15 18:50:50 +0000 2014,@heartless2bitch eu gosto das jailbaits sowwy kkkkkkkk
Tue Sep 30 19:45:25 +0000 2014,Construction worker called me jailbait - clearly mistaken lol
Sun Sep 28 14:58:58 +0000 2014,“@JAILBAITYES: Pussy #jailbait http://t.co/lbO69KungO”
Mon Sep 08 04:25:53 +0000 2014,Top 10 Jailbait Songs http://t.co/bDiqBXgNkh
Sun Sep 07 15:56:21 +0000 2014,@sammy_linn I just say I love incest and jailbait too...A lot..lol
Thu Sep 11 21:57:01 +0000 2014,RT @69NishaGulati69: #jailbait beauty http://t.co/vMfNmHwhsh
Thu Sep 18 05:03:16 +0000 2014,Photo: jailbait: they’re waiting for me http://t.co/JBh2pijnTj
Wed Sep 17 22:20:24 +0000 2014,robbie kay is absolutely gorgeous and looks totally jailbait material.......but he's not
Mon Sep 29 14:44:36 +0000 2014,RT @JAILBAITYES: Cheerleader #jailbait http://t.co/lgN2F9XJiy
Wed Sep 03 06:34:54 +0000 2014,"@TheLadyoDiesel @Sexual_rebel @TheGrizzlySmile Lets keep this PG, jailbait in the house."
Tue Sep 30 07:22:45 +0000 2014,Enjoy share follow #jailbait http://t.co/IszKNOnWMi
Tue Sep 30 18:37:21 +0000 2014,RT @muurp: LOL at people when they find out I'm 17 #jailbait 🚼
Mon Sep 22 23:08:36 +0000 2014,RT @ya_s0n: @andrew_bazzi ur 16???? Oh lord #jailbait
Wed Sep 24 21:33:53 +0000 2014,"@countrymusic2 its called clickbait.  People figured out what jailbait means, but they are too dumb for this?"
Sat Sep 06 12:37:44 +0000 2014,some people should learn to stay within their age bracket 💆 jailbait.
Sat Sep 13 04:21:02 +0000 2014,RT @69NishaGulati69: #jailbait beauty http://t.co/vMfNmHwhsh
Tue Sep 16 20:26:35 +0000 2014,"@stupacalac nah mate, was going to back them but thought it might of been jailbait"
Wed Sep 17 05:39:51 +0000 2014,RT @JAILBAITYES: Wow jailbait http://t.co/wT8JHQsUxL
Mon Sep 08 07:03:28 +0000 2014,RT @ratemylesbian: RT if you think she's jailbait! http://t.co/tY4KeUULyD
Mon Sep 08 07:03:17 +0000 2014,RT @RateMyKnockers: RT if you think she's jailbait! http://t.co/f6VyMLxv19
Fri Sep 26 20:42:17 +0000 2014,"RT @Herman19821007: ""@ctmaaajbp: #jailbait http://t.co/K4AykU5vi0"" So Cute"
Sat Sep 20 06:27:14 +0000 2014,RT @teeniefan: That's a nice #jailbait cleavage she has ;) http://t.co/9BS0krqrbS
Mon Sep 22 04:13:19 +0000 2014,It must be in the food. #Boobs #JailBait #Teen http://t.co/xQ7A9P8bKu
Fri Sep 05 07:45:15 +0000 2014,"RT @JayHedgesss: Seeing 'school' on my timeline too much, I follow too much jailbait.."
Wed Sep 03 14:54:22 +0000 2014,"I'm sorry, but if you are 25 and trying to talk to a 16 year old, I'm judging you! #JailBait"
Wed Oct 01 02:56:13 +0000 2014,RT @YoungHotties: Sexy ass #jailbait http://t.co/9ov5K7Ls8e
Tue Sep 30 15:22:14 +0000 2014,RT @JAILBAITYES: Young and developed #jailbait http://t.co/umjuG4BPtj
Mon Sep 22 11:30:59 +0000 2014,RT @khamm98: “@LustyLasses: #Jailbait http://t.co/KMtCWiqEn4” She's Hot!!!!!
Sat Sep 06 21:05:36 +0000 2014,RT @ThroatMe1: Perfect #jailbait #tits http://t.co/YUMAxDiMNZ
Wed Sep 24 04:49:27 +0000 2014,"RT @Herman19821007: ""@ctmaaajbp: #jailbait http://t.co/K4AykU5vi0"" So Cute"
Tue Sep 16 10:02:22 +0000 2014,RT @cairnsy1994: Young and wet #jailbait http://t.co/egKHncuH8J
Mon Sep 08 04:27:19 +0000 2014,RT @girlieforever2: Top 10 Jailbait Songs http://t.co/bDiqBXgNkh
Sun Sep 14 00:46:26 +0000 2014,"RT @rebentandoculos: ""@YngGirlFan4: Cute #jailbait ass ;) http://t.co/utGC6SjxRf"""
