created_at,text
Mon Jul 28 02:04:27 +0000 2014,"RT @Aerosmith: I believe in someone talkin', Can't let go you don't get hold no Jailbait - Jailbait http://t.co/UhoCgVoaxb"
Fri Aug 01 03:51:04 +0000 2014,RT @delanessss: “@cocochanelbitch: #jailbait http://t.co/oXG78eWmoe” ugh i love my jailbait take that 5 to 10 anyday
Sat Jul 19 03:09:46 +0000 2014,i'm not jailbait ... i'll be 20 soon
Tue Jul 08 11:10:43 +0000 2014,Goodnight jailbait ✌️
Sun Jul 27 02:26:52 +0000 2014,@ActuallyAdriana ILY2 JAILBAIT:* :)
Tue Jul 22 00:11:50 +0000 2014,Damn look at that jailbait.
Wed Jul 30 21:59:09 +0000 2014,@DeadMike5 ones #JailBait
Sun Jul 20 04:08:54 +0000 2014,@SpoiIs jailbait no chill
Mon Jul 28 17:19:59 +0000 2014,@GVCCIBAPE  jailbait 😍😍😍👌
Wed Jul 23 21:36:32 +0000 2014,@natrobinson_ youre jailbait
Thu Jul 17 03:51:27 +0000 2014,Last few hours of being jailbait
Tue Jul 29 12:43:53 +0000 2014,@Xykxy @idcyaz loool jailbait
Fri Jul 11 01:42:44 +0000 2014,have been called jailbait twice in 24 hrs
Fri Jul 18 02:34:51 +0000 2014,@maxbarta gives @Zim5 some competition😏 #jailbait
Wed Jul 02 14:57:43 +0000 2014,@scottwilson95 as if you give a fuck about jailbait #CradleSnatcher
Sun Jul 27 10:05:50 +0000 2014,@claimliam sry I'm so hot 💁 #jailbait
Thu Jul 03 09:14:21 +0000 2014,Watching #jailbait on #Netflix these hoes crazy
Wed Jul 30 20:32:58 +0000 2014,Apparently @shelbysimpsonx thinks shes jailbait
Sun Jul 20 03:17:30 +0000 2014,@DianaT845 that's my life I have so many jailbait stories
Thu Jul 17 02:37:27 +0000 2014,@gagaftljp nah son. You're like jailbait for him
Thu Jul 17 04:07:40 +0000 2014,@PaulZies I didn't know jailbait came in peppermint
Thu Jul 10 23:11:44 +0000 2014,Yummy #jailbait http://t.co/Eq565qhC2S
Fri Jul 11 03:11:06 +0000 2014,When you realize she's jailbait http://t.co/P8dDKu6VZY
Fri Jul 18 12:05:34 +0000 2014,Is love box 18 and under... Jailbait city man
Thu Jul 17 07:13:19 +0000 2014,How old are you? — I'm jailbait http://t.co/wPpbO0zcWg
Wed Jul 02 23:02:46 +0000 2014,no I will not follow you kendall jenner #youngin #jailbait
Wed Jul 30 02:54:32 +0000 2014,RT @Imjinxed2: No thanks jailbait  I don't have time to train you
Fri Jul 04 03:51:00 +0000 2014,@BCakesx You're the faggot for not knowing what jailbait by kathi is nerd!
Tue Jul 01 15:43:08 +0000 2014,Cawblehhhh a 14? #lockup #jailtime #jailbait #tooprettytobelockedup
Wed Jul 30 07:04:26 +0000 2014,RT @Imjinxed2: No thanks jailbait  I don't have time to train you
Wed Jul 30 06:07:10 +0000 2014,@mixely nah Bruh I'm jailbait nice try
Thu Jul 24 23:20:29 +0000 2014,Any jailbait galleys on xbox? Come play GTA with me
Fri Jul 25 20:54:11 +0000 2014,@Krrrod24 True but he is like 15.. freaking jailbait
Fri Jul 25 22:12:11 +0000 2014,@cumgetsome1987 @kinkybisexual69 not jailbait that's the Bailey's room pornstar
Wed Jul 23 15:56:19 +0000 2014,Whys there bare jailbait adding me on fb? O_o
Wed Jul 09 18:35:51 +0000 2014,RT @ween231979: I'm in that awkward stage between jailbait and cougar
Thu Jul 03 02:43:19 +0000 2014,#teen #jailbait #tittytuesday http://t.co/ZCVkFEjDcJ
Mon Jul 21 13:37:16 +0000 2014,"@demtoddd CALLING IN COUSIN FANTASY ONE , ARE YOU IN JAILBAIT? DO YOU READ ?!"
Sat Jul 05 20:13:00 +0000 2014,@gotcha_asss @kenziesandlin it's terrible isn't it? Worst jailbait I ever seen
Sun Jul 20 04:40:41 +0000 2014,@_vivtheillest Im sorry i dont stalk your tweets jailbait
Sat Jul 26 02:41:10 +0000 2014,@TylerJameHutton haha i will see u during the season jailbait
Fri Jul 25 11:03:16 +0000 2014,RT if you think she's jailbait! http://t.co/kjp7MhOl7j
Wed Jul 09 14:22:25 +0000 2014,"@jourdal better than jailbait loli, need more real woman"
Sun Jul 27 00:43:37 +0000 2014,@nicksorba @Gotto649 @matt_boyko women don't want that youthful! #jailbait #cougerproof
Fri Jul 18 02:28:49 +0000 2014,RT @lottgirl1991: http://t.co/8ozcxbFHfx #jailbait younggirls
Thu Jul 17 15:47:24 +0000 2014,#22yearsoftaemin I remember joking around with unnie about you being jailbait years ago
Thu Jul 03 05:19:08 +0000 2014,RT @tikidaddy44: Beach #jailbait http://t.co/n0KcwnABCz
