created_at,text
Wed May 06 11:49:56 +0000 2015,Jailbait.
Sun May 17 04:29:14 +0000 2015,Fucked a #Jailbait 😉 do I have any other jailbait followers? 😏
Wed May 20 00:27:28 +0000 2015,"RT @cumtribute321: Amazing hot jailbait. Who's tits do you want to see? Retweet left, favourite right? #jailbait #cumtribute #teen http://t…"
Thu May 07 15:24:43 +0000 2015,Freshmen or jailbait.
Wed May 27 18:15:18 +0000 2015,Jailbait 🙅🙅🙅🙅🚫
Thu May 28 23:50:21 +0000 2015,@Carlos150894 jailbait
Mon May 18 23:15:18 +0000 2015,"@bodyguard4JandJ 
at least it's not ""jailbait"""
Mon May 11 22:38:20 +0000 2015,"I can't say ""I'm jailbait"" anymore"
Sat May 30 02:02:19 +0000 2015,@steviecree we're heavy jailbait
Tue May 19 23:08:46 +0000 2015,@shannonhevo1 @GazGShore JailBait
Sat May 16 08:05:45 +0000 2015,"@IndianKing19 Of course, jailbait. ;*"
Sun May 17 11:59:50 +0000 2015,@twinktodad that's more like jailbait to twink
Sat May 23 13:25:59 +0000 2015,jailbait fits jungkook perfectly
Sun May 10 06:57:32 +0000 2015,@gannalisa_ your jailbait though haha 😂
Fri May 08 16:21:53 +0000 2015,"@uknocorn the ""ur jailbait af"" face"
Wed May 20 22:15:36 +0000 2015,JAILBAIT https://t.co/aBiSMhyEwM
Tue May 05 02:40:07 +0000 2015,We've seen Beyonce transform from jailbait to MILF.
Tue May 12 09:31:32 +0000 2015,@Adelalsagoff but brooklyn thooooooo zamnnnn jailbait
Sun May 17 00:41:54 +0000 2015,she is freaking out and I'm over here taking jailbait pics lmao
Fri May 08 04:19:27 +0000 2015,Tyga still fw jailbait huh ? 😂
Wed May 27 03:22:32 +0000 2015,"There's just way too much jailbait on snapchat, is what it comes down to"
Mon May 18 00:36:16 +0000 2015,Still jailbait. https://t.co/6wTybx5lyp
Sun May 10 07:17:19 +0000 2015,@mikaylacatt forever here for you Jailbait ❤️ best bitches right?
Wed May 20 18:00:43 +0000 2015,@KissNissi_3939_ @MatthieuEverett waiting for melissa to tell me that my faves are all jailbait
Sat May 23 19:49:34 +0000 2015,I'll devise a #jailbait swing-o-meter for #Eurovision2016! #ltu
Sun May 31 21:51:04 +0000 2015,@KyuteLoveFairy Prime Fairy Jailbait? That what you say to everyone you meet?
Mon May 11 02:20:20 +0000 2015,RT @hottnhorny19: Am I #jailbait enough for you? http://t.co/qMAWy9cVR8
Wed May 13 08:40:42 +0000 2015,"RT @JE55ICAFANT: i miss being jailbait. hit niggas with that ""i'm 17"" and the conversation was over."
Mon May 18 21:08:36 +0000 2015,RT @michaelyolo1995: Love jailbait http://t.co/wOGCIQoFIN
Wed May 20 06:59:15 +0000 2015,RT @vitaminyoongi: JAILBAIT WTF https://t.co/btK7ttUpDC
Thu May 28 00:19:54 +0000 2015,RT @cokkypecker: love this #jailbait http://t.co/Gw6fERAubX
Wed May 27 20:37:10 +0000 2015,"Me, Roxi and Tay just got called jailbait lol 😂"
Thu May 14 09:51:54 +0000 2015,RT @pervygirl99: Cute #jailbait http://t.co/x5BsWft9qt
Fri May 01 21:29:14 +0000 2015,"@Caoji178 sry pretty jailbait, wait 2 more years :P"
Mon May 25 01:14:54 +0000 2015,"RT @KingCapitalKyle: You too young to be tweeting like a hoe smh.

JAILBAIT."
Wed May 13 00:32:01 +0000 2015,"RT @JE55ICAFANT: i miss being jailbait. hit niggas with that ""i'm 17"" and the conversation was over."
Tue May 12 17:45:25 +0000 2015,"RT @SexyTeensFeed: #retweet if you would.
 #jailbait http://t.co/arkJfFp64X"
Sat May 09 12:15:48 +0000 2015,10 year old nut jumpers #jailbait #playdough #IsntItNapTime??
Fri May 08 12:26:53 +0000 2015,LEGIT JAILBAIT LOOK OH GOT http://t.co/z9FpvpTiXs
Mon May 11 20:22:40 +0000 2015,Jailbait Vicky is laying her future prosperity in a chap called Twongy #BenefitsStreet
Sat May 16 04:34:56 +0000 2015,RT @juststartingd7: Swim time #jailbait  http://t.co/lYg7aMUsgr
Wed May 27 17:11:26 +0000 2015,I am so hard for @MarySurreta #cocktribute #horny #jailbait http://t.co/Y6hBrWRj3B
Sun May 03 16:43:17 +0000 2015,RT @hajimarkjin: HOT DAYUMMMMM JAILBAIT http://t.co/jvUcbsc1iN
