created_at,text
Sat Aug 08 01:07:59 +0000 2015,@rowblanchard is jailbait
Mon Aug 31 20:36:02 +0000 2015,@Craigloftus_ jailbait
Sun Aug 30 01:50:02 +0000 2015,@yungmegan @ArianaGrande i was jailbait
Sun Aug 30 19:28:13 +0000 2015,Jailbait ass Quan.
Thu Aug 20 01:28:49 +0000 2015,@Shaelyn_cofresi @GORGEOUSGlRLS jailbait? Lol
Sun Aug 16 17:16:39 +0000 2015,Kami is the dictionary definition on jailbait
Thu Aug 13 21:39:45 +0000 2015,Rams is such a jailbait sausage fest atm
Sat Aug 01 14:02:24 +0000 2015,RT @lotti_thottie: @lowcard_ 1 jailbait
Sun Aug 30 21:56:36 +0000 2015,@alyssaziebell sarahs a baby. Shes jailbait
Sun Aug 30 07:11:19 +0000 2015,"and I get called ""jailbait"" way too often"
Tue Aug 11 04:08:30 +0000 2015,Miss you too jailbait.  https://t.co/wceZXFPZum
Mon Aug 03 01:58:24 +0000 2015,@Randy_Kuhn he wants a piece of randy. 😂😂😂 #jailbait
Sat Aug 29 15:23:01 +0000 2015,RT @joyajohnsonnn: @psychadill you're literally jailbait in your avi
Sat Aug 22 05:50:23 +0000 2015,@FUNNY_BTS definition of a jailbait. Jeon freaking Junkook..
Mon Aug 31 12:44:52 +0000 2015,A love when my pals get themselves into jailbait situations 😂😂😂😂😂😂
Thu Aug 13 20:21:29 +0000 2015,@TommyGs_ hopefully by removing jailbait out of ur pit 😂
Fri Aug 14 01:44:52 +0000 2015,Cock hardening #jailbait https://t.co/2QK4nPSKNf
Thu Aug 20 21:53:39 +0000 2015,Why do I have to be 19?😔😭😈😍 FUCKING EYE CANDY JAILBAIT BITCHES
Fri Aug 28 17:13:03 +0000 2015,@pixie_lana and looks 18/19 i say u jailbait him
Wed Aug 19 00:41:58 +0000 2015,RT @Kadijaaa_GK: Jailbait #NowImMad http://t.co/WTZLOuug2m
Wed Aug 19 03:53:49 +0000 2015,RT @Kadijaaa_GK: Jailbait #NowImMad http://t.co/WTZLOuug2m
Wed Aug 19 01:07:44 +0000 2015,RT @Kadijaaa_GK: Jailbait #NowImMad http://t.co/WTZLOuug2m
Wed Aug 19 05:11:28 +0000 2015,RT @Kadijaaa_GK: Jailbait #NowImMad http://t.co/WTZLOuug2m
Sat Aug 08 14:53:23 +0000 2015,@anacristinai remember Jailbait? he's scored a hat trick in the first half
Thu Aug 20 19:07:21 +0000 2015,RT @Kadijaaa_GK: Jailbait #NowImMad http://t.co/WTZLOuug2m
Mon Aug 03 11:46:34 +0000 2015,Guy doing my tires at Walmart is super-cute. And I'm pretty sure he isn't jailbait.
Tue Aug 04 05:57:26 +0000 2015,"RT @wvldchvld: @Maya_arcee yeah, she straight.. But she still JAILBAIT.. 😁"
Sun Aug 23 04:08:03 +0000 2015,"@Dory Lawd 😩❤️ and she's 17, Jailbait at 1000,000"
Wed Aug 19 17:26:54 +0000 2015,RT @Kadijaaa_GK: Jailbait #NowImMad http://t.co/WTZLOuug2m
Thu Aug 20 02:55:07 +0000 2015,RT @Kadijaaa_GK: Jailbait #NowImMad http://t.co/WTZLOuug2m
