created_at,text
Tue Aug 12 11:29:59 +0000 2014,Jailbait
Tue Aug 19 16:02:53 +0000 2014,"Nothin but milfs and jailbait, milfs and jailbait"
Tue Aug 12 05:44:13 +0000 2014,"RT @TrvllGawd: niggas be like ""if she's jailbait, I'm jailbait"""
Fri Aug 15 08:45:32 +0000 2014,so jailbait
Sun Aug 17 08:40:04 +0000 2014,Your jailbait
Sun Aug 31 19:54:14 +0000 2014,This dude tried to hit on me and I said I was 15 and he was 17 and he called me jailbait wtf nigga ur jailbait
Sat Aug 16 23:55:28 +0000 2014,"Don't even want to know your name
It's enough to know you feel the same
You're jailbait and I just can't wait
Jailbait baby come on

-Lemmy"
Tue Aug 19 19:26:19 +0000 2014,MY JAILBAIT COUSINS #incest #incestlife #teamincest #Teens #Tween #tweens #teen #incestfun #Toronto #jailbait #YYZ http://t.co/z6rSnAXAVA
Wed Aug 20 19:13:29 +0000 2014,jailbait 😭
Mon Aug 18 05:53:58 +0000 2014,I'm jailbait 😂
Wed Aug 06 03:45:23 +0000 2014,Jailbait shit
Fri Aug 22 21:26:16 +0000 2014,"@darcijayy ""Jailbait"""
Fri Aug 22 20:29:24 +0000 2014,@waIIets jailbait
Tue Aug 19 11:58:30 +0000 2014,the jailbait's speaking
Sun Aug 24 05:42:43 +0000 2014,I love being jailbait
Thu Aug 07 09:10:54 +0000 2014,Me and @_jxrdiee_  are jailbait I guess😂
Thu Aug 07 07:33:12 +0000 2014,Too much jailbait following me
Mon Aug 18 21:05:58 +0000 2014,Jailbait @jjenrusso 😈
Fri Aug 15 22:26:26 +0000 2014,@JailbaitTwit any #jailbait twins
Tue Aug 19 07:17:47 +0000 2014,"""Jailbait ❤️ $morg"""
Sun Aug 17 05:31:35 +0000 2014,@FergGames @hudsonwisler jailbait
Thu Aug 07 19:54:28 +0000 2014,“@trinivictoriaa: @NuthnButAGThing #jailbait” right?!
Thu Aug 07 14:35:36 +0000 2014,"""don't go for the jailbait"" fuck you i do what i want"
Tue Aug 05 14:50:01 +0000 2014,youre hot but youre jailbait so
Fri Aug 15 00:22:07 +0000 2014,@_tessimistic @RealPhilS i'm not jailbait I'm ally
Fri Aug 22 06:54:41 +0000 2014,@Now_Thats_Fresh jailbait Disney star
Fri Aug 29 03:42:12 +0000 2014,Seventeen is jailbait #ruinamagazine @midnight
Sun Aug 31 16:02:19 +0000 2014,IS JUNGKOOK STILL A JAILBAIT???? NOOOO????
Mon Sep 01 02:12:41 +0000 2014,plot twist: jailbaits turn me on
Mon Aug 11 07:17:30 +0000 2014,RT @RawrPookie: Watching jailbait 👌
Tue Aug 26 23:40:56 +0000 2014,@YungG0th hmmm @jailbait lmfao :p
Tue Aug 05 06:22:43 +0000 2014,When she jailbait http://t.co/peKLnPULz5
Fri Aug 22 14:31:21 +0000 2014,@x_Kelci_C_x I don't understand how he's still basically jailbait???
Sat Aug 09 07:34:58 +0000 2014,"@coolfeyrac I'm too gay for jess don't worry about me but 
Jailbait"
Fri Aug 08 15:28:26 +0000 2014,If there's any jailbait out there following me you should follow this cool ninja @LieutenantGanja
Tue Aug 26 15:20:16 +0000 2014,She known to catch a subtweet...her jailbait lookin ass
Sun Aug 03 01:34:31 +0000 2014,Jailbait is the best compliment I've ever received I think
Mon Aug 04 06:23:22 +0000 2014,"Another horrible movie on netflix to not watch ""jailbait"" :-)"
Fri Aug 15 02:59:32 +0000 2014,YOU SHOULD ALL KNOW IM JAILBAIT LIKE RLLY YOUNG
Thu Aug 14 18:11:32 +0000 2014,I've seen too many jailbait belly buttons today
Wed Aug 20 01:53:38 +0000 2014,RT @bgloti: Dropped the soap smh jailbait
Mon Aug 18 19:08:26 +0000 2014,RT if you think she's jailbait! http://t.co/qmvSE2l9gE
Wed Aug 27 13:32:13 +0000 2014,"You're Jailbait, and I ain't blessing y'all anymore just because its PINK"
Sat Aug 09 13:44:22 +0000 2014,#jailbait what a cute girl. ;) http://t.co/IE4hPEjlt7
Thu Aug 07 14:47:16 +0000 2014,Top 10 Jailbait Songs http://t.co/NAdK4ZOSCz
Wed Aug 13 23:47:58 +0000 2014,Top 10 Jailbait Songs http://t.co/nT6DAmyO88
Sat Aug 02 01:48:46 +0000 2014,@rutherfordium_ @sarahansali bruh chill Sara's the jailbait not me I ain't wid it
Sun Aug 24 17:26:52 +0000 2014,"RT @savagestxph: ""@RayRomario__: What's with all these peng young girls 😖"" jailbaits"
Sat Aug 23 21:01:03 +0000 2014,RT @EseDescarado: A #jailbait for this night http://t.co/sJs9jg0psq
Sun Aug 10 18:02:12 +0000 2014,RT @JailbaitTwit: So hot! #teen #jailbait http://t.co/noOm3AgF5N
Wed Aug 13 15:25:23 +0000 2014,RT @Abbatharxo: So many boys love the young ones 😂 #jailbait
Fri Aug 08 14:40:21 +0000 2014,RT @khamm98: “@LustyLasses: #Jailbait http://t.co/KMtCWiqEn4” She's Hot!!!!!
Sat Aug 09 02:16:23 +0000 2014,RT @aturbolover: Love #jailbait girls! http://t.co/iRP94rmi3L
Fri Aug 15 19:41:07 +0000 2014,Mmm the #jailbait on the left has some nice #tits http://t.co/uyhAntBFqF
Wed Aug 20 23:57:14 +0000 2014,now that im 18 it seems like all #jailbait wanna talk to me ... smh
Mon Aug 04 07:06:55 +0000 2014,@alexmcd666 watch the movie jailbait there's a lot of tits and it's hella similar to oitnb
Fri Aug 29 17:01:04 +0000 2014,RT @bignipchicks: RT if you think she's jailbait! http://t.co/0XYsti8ulq
Sat Aug 30 03:37:28 +0000 2014,back when i was only 17 :O #jailbait lol http://t.co/rhQo5BFYF5
Wed Aug 27 12:15:05 +0000 2014,@cammyk_91 Yeah no doubt! You got jailbait chasing you son! :0 Cx
Wed Aug 06 00:34:10 +0000 2014,Man That girl is Jailbait we going to have to start checking I.Ds on these chicks here lol
Mon Aug 04 02:42:45 +0000 2014,"I'm one year older today but I'm still jailbait, just know 😭"
Fri Aug 01 08:03:36 +0000 2014,RT @jailbaithot1: speechless #jailbait #teen http://t.co/5ZQqWlX8NO
Fri Aug 01 08:57:51 +0000 2014,Anyone like #young #teens #jailbait http://t.co/nJllYvwLoL
Fri Aug 22 07:42:36 +0000 2014,RT @amodel_s: Young #teen #jailbait http://t.co/yZxdSfd96F
Wed Aug 06 15:40:19 +0000 2014,RT @loverofsmut: Tidy little #jailbait http://t.co/6vOVYQ96jM
Tue Aug 12 12:10:48 +0000 2014,"RT @therme_theo: Jailbait, left or right? http://t.co/F6mzc6cO4W"
Tue Aug 12 18:42:11 +0000 2014,Sisters #incest #jailbait young #bikini http://t.co/x7TRDjEMeN
Sun Aug 31 18:04:41 +0000 2014,RT @_nicholita: @_xnatyx_ let me be your stepaunt if he's 30 I'm 29 I'm not jailbait I promise
Sun Aug 10 18:27:09 +0000 2014,RT @teenybitoftaboo: Wow xxx #teens #jailbait http://t.co/3aqt9ofSaN
Thu Aug 07 19:10:24 +0000 2014,RT @Denmotoracer: Good God she is a beautiful #jailbait http://t.co/LXMqoyNUTn
Mon Aug 18 15:56:08 +0000 2014,Jailbait with bubble butt #minidress #legs #heels http://t.co/dT8n4nTqOa
Fri Aug 08 17:14:29 +0000 2014,"I SUPPORT DJ ZEETI's MOVEMENT, BUT DUDE STAYS RT'n JAILBAIT ON THE TL CUHZ.."
Fri Aug 15 16:42:03 +0000 2014,RT @jasoneason3: Yummy little #jailbait at the beach http://t.co/KU2axm5xvI
Fri Aug 15 18:49:37 +0000 2014,RT @therme_theo: Schoolgirls sailing holiday #jailbait http://t.co/f0HvgCc2rM
Sun Aug 17 23:34:25 +0000 2014,Back dimples  #SexySunday #jailbait  #thong #realgirls http://t.co/AMMKwgu8a6
Thu Aug 21 14:02:10 +0000 2014,RT @TalkToJust4You: Sweet hot #jailbait teens http://t.co/NMpB5pEzzk
Mon Aug 25 00:25:52 +0000 2014,@BadFatBlackGirl @fakerapper ariana still jailbait nicki and amber rose still slaying
Wed Aug 06 23:32:48 +0000 2014,I hate Meygan Thacker! She is jailbait..garbage.. nasty hoe... who needs to blow her nose
Mon Aug 25 13:11:11 +0000 2014,RT @JailbaitTwit: God damn!! #jailbait #teen http://t.co/oLju0HSnNc
Mon Aug 25 11:16:50 +0000 2014,RT @sineadrose: @MiroticForever lol and the fact he's now referring to himself as jailbait! &amp;hearts;
Wed Aug 13 03:45:46 +0000 2014,777- You're still jailbait. I still find you attractive. Don't lose the beard or you'll be dead to me. ❤️
Sat Aug 16 23:10:24 +0000 2014,"@_xrachelizabeth happy birthday my lil jailbait. Have a good day, I love you lots xxxxx"
Mon Sep 01 01:52:12 +0000 2014,"RT @omgitsAli_: Even tho Riley is 19, he still feels like jailbait to me."
Wed Aug 13 14:04:20 +0000 2014,"@FujiDaGod @ReizeiMakoo @dakidukno Now that I think about it, who is this chart for? Hermits who travel the country looking for jailbait?"
Sun Aug 17 21:12:46 +0000 2014,"its an age thing. 30 and below stare at the girls. 40 and below, the girls are jailbait. they don't look. I'm not used to that anymore"
Tue Aug 05 04:32:11 +0000 2014,I lied about my age so many times this weekend I'm beginning to forget how old I really am #oops #jailbait?
Sun Aug 03 06:47:03 +0000 2014,“@MarianaAvena1: @Corals_Coco @jsalazar831 same. there's more shirts where this came from. http://t.co/jK7EXZNRBJ” #jailbait #selfie
Sat Aug 30 17:19:10 +0000 2014,RT @Majestaetix: Sweet #tinytitties #tits #teen #jailbait http://t.co/N2Y7cpJtxE
Tue Aug 19 20:07:26 +0000 2014,RT @AlexMarinez: Pattys the biggest loaft zzz. too busy talkin to jailbait no time for the gym.
Tue Aug 12 06:39:38 +0000 2014,#jailbait she's shocked cause daddy just opened the door..... http://t.co/7Jce37FEGB
Sat Aug 16 19:02:42 +0000 2014,"RT @therme_theo: Gorgeous jailbait, wish it was me she was dressing like that for! http://t.co/pw2UYYySoP"
Sat Aug 16 08:13:47 +0000 2014,RT @Iucreziaborgias: when asked who was most dangerous in bangtan almost everyone said jungkook because he's basically jailbait
Sun Aug 17 05:16:57 +0000 2014,"RT @bigjon8383: ""@davidthelad1: http://t.co/AguOUPb7GI"" what a body! #jailbait #young #legs"
Fri Aug 08 16:59:09 +0000 2014,@gerbshanarb @Not_AshleyPH @strong_piss @twistofnate I bet Gerby was a real hot piece of jailbait ass when she was a teen
Mon Aug 11 19:37:13 +0000 2014,RT @HotWhiteAss: RT @amodel_s: Knotted li'l #jailbait which is so #hot http://t.co/1633dna833
Mon Aug 11 11:52:32 +0000 2014,"Although it is said that God created jailbait on the eight day, He still doesn't exist. So you better pray for me now."
Fri Aug 15 11:20:27 +0000 2014,RT @amyoungteen2000: Grrr hate mornings #jailbait #braces #young http://t.co/nKw6hNagvb
Mon Aug 18 04:36:56 +0000 2014,"RT @BTSBucketList: [pre-debut] Jungkook 

he's not 20, he's still jailbait http://t.co/ppyh4aRnhE"
Mon Aug 18 04:16:45 +0000 2014,"RT @BTSBucketList: [pre-debut] Jungkook 

he's not 20, he's still jailbait http://t.co/ppyh4aRnhE"
Mon Aug 04 15:57:22 +0000 2014,"Motorhead Jailbait [Live][*]

#RNRMETAL follow back

Choose your song using the Jukebox in the web.

BY METAL \,,/"
Thu Aug 28 04:05:39 +0000 2014,Niggas be runnin around with guns around here haha time to grow up bro #stupidass #jailbait #growupbro
Thu Aug 21 13:19:02 +0000 2014,"""@jailbaitnl: #jailbait #young #teen #youngteen #amateur http://t.co/ucxJzCnl5a""sexy as fuck"
Thu Aug 14 16:11:18 +0000 2014,RT @JailbaitTeens: Imagine cumming all over her cute little ass! ;) #jailbait http://t.co/oRC6Wh2sQE
Thu Aug 14 20:54:51 +0000 2014,"""@CarolineBithell: “@CEarith: Can't explain how much I'd love to be going out tonight” with all the kiddies Craig?😉"" so game for jailbait"
Sun Aug 03 10:38:52 +0000 2014,RT @scnnr: Ted Nugent's Jailbait Problem | Larry Womack http://t.co/kQqcsF4RKP
