created_at,text
Sun Dec 29 19:16:42 +0000 2013,"""How old are you?"" ""15"" ""ah, jailbait"" #jailbait"
Fri Dec 06 05:06:26 +0000 2013,That's jailbait
Fri Dec 20 02:19:34 +0000 2013,jailbait.
Sat Dec 28 07:43:20 +0000 2013,You're jailbait
Tue Dec 10 00:25:27 +0000 2013,Jailbait!!! Just so everyone knows I'm still jailbait! Don't touch me!
Tue Dec 03 09:14:43 +0000 2013,"Major Crimes, Season 2 Episode 13, Jailbait Synopsis/Description: Major Crimes, Season 2 Episode 13, Jailbait... http://t.co/XdNon6dO5e"
Wed Dec 11 19:25:14 +0000 2013,#NP Jailbait
Fri Dec 06 00:14:15 +0000 2013,#JailBait 😂😂😂😂🎣
Wed Dec 25 02:18:33 +0000 2013,#JailBait 😳😂
Tue Dec 31 18:16:29 +0000 2013,#MCDAVID #JAILBAIT
Sat Dec 07 20:54:29 +0000 2013,RT @JavierAlexandur: i am jailbait
Sun Dec 15 15:36:06 +0000 2013,The almighty  JAILBAIT ugh
Tue Dec 17 22:13:31 +0000 2013,I'm jailbait. Get out my face.
Mon Dec 02 09:30:06 +0000 2013,jailbait!arthur 😍
Thu Dec 05 16:12:57 +0000 2013,@faapyon jailbait detected
Sun Dec 01 21:41:47 +0000 2013,@XxPanda_CatxX whispers jailbait
Thu Dec 19 22:12:01 +0000 2013,SO WARY OF THESE JAILBAIT TRAPS
Tue Dec 24 21:22:29 +0000 2013,He's going for that jailbait 😂
Tue Dec 24 23:52:51 +0000 2013,Mexican jailbait. To. Away.
Mon Dec 09 20:54:28 +0000 2013,@tommy_cook1 Jailbait please
Wed Dec 11 00:54:34 +0000 2013,Hey did you guys know that I'm jailbait?
Wed Dec 11 02:27:57 +0000 2013,jailbait &lt;&lt;&lt;
Wed Dec 18 15:46:23 +0000 2013,"@LetsJustStare BC JAILBAIT
IN CHAINS"
Thu Dec 19 02:43:14 +0000 2013,All these jailbaits like fuck bruhh
Wed Dec 11 17:51:07 +0000 2013,Leslie's fishing 😋 #JailBait
Thu Dec 05 04:16:46 +0000 2013,"When your best friend is
#jailbait.. @lindseyconsley"
Wed Dec 04 23:02:33 +0000 2013,Being called 'jailbait' omg you're having a laugh😂😂
Fri Dec 20 01:15:36 +0000 2013,"“@littleelindss: JAILBAIT” 
Dais my nickname"
Mon Dec 09 18:15:51 +0000 2013,"If you're 18 and your boyfriend is 32, YOU ARE JAILBAIT"
Sat Dec 14 02:32:41 +0000 2013,@crowleysbigdick is it considered jailbait if ur both under 18
Thu Dec 19 04:14:36 +0000 2013,austin mahone is jailbait holy fuck
Thu Dec 19 05:22:52 +0000 2013,There's a lot of jailbait that follow @Huntermoore 😒
Thu Dec 05 04:17:44 +0000 2013,I so young.... Youngest one out of all my friends... #jailbait
Sat Dec 28 00:05:38 +0000 2013,#oomf like little girls. #jailbait
Sat Dec 14 07:55:03 +0000 2013,“@hotCOCO_: @ballin_withsole 👀 #jailbait” 😌
Sun Dec 29 05:01:04 +0000 2013,i got called jailbait last night
Sat Dec 28 16:20:46 +0000 2013,@LeiiPandaTabi LEI HALP ME HOW DID YOU ESCAPE FROM JAILBAITS
Wed Dec 25 21:23:16 +0000 2013,RT @blimpbizkit: Jailbait twitter feed
Tue Dec 17 04:32:50 +0000 2013,I have court tomorrow.  Ugh. #jailbait lol
Tue Dec 17 02:06:02 +0000 2013,Sm rookies more like sm jailbait
Wed Jan 01 02:40:34 +0000 2014,changjo lookin rly fine for jailbait
Thu Dec 19 03:55:01 +0000 2013,“@lil_auss: @HunterGatto I thought we were best friends” jailbait*
Mon Dec 09 02:20:02 +0000 2013,"you can only say someone's jailbait if they are actually hot,"
Fri Dec 27 05:03:29 +0000 2013,i found pics of predebut jailbait in front of the getty
Mon Dec 02 08:35:34 +0000 2013,Thanking jailbait allan for her pretty Christmas jumper
Mon Dec 30 06:33:43 +0000 2013,RT @mynamesdiana: sry im jailbait lmao
Sun Dec 15 01:40:29 +0000 2013,Girls on stage are legit #jailbait 😂🙈#KISS108JingleBall
Wed Dec 04 06:14:59 +0000 2013,#chatapp #jailbait http://t.co/pngyuWvKY6
Sun Dec 22 14:35:59 +0000 2013,"lol, Morgan called Cierra jailbait, "
Sun Dec 22 22:25:37 +0000 2013,Apparently jailbait isn't working out. Right @JBadger77 lol
Thu Dec 26 03:36:59 +0000 2013,“@tjbxo_: JAILBAIT” quit talkin bout yourself 😂😂
Fri Dec 13 00:54:14 +0000 2013,@TayKiemele not jailbait im #17 #duhh #hesafarmer
Tue Dec 10 05:28:29 +0000 2013,RT @LowLifeErik: Kik Convo is full of jailbait
Wed Dec 18 08:42:01 +0000 2013,Taemin is older than me but I still feel like I'm checking out jailbait
Mon Dec 16 02:45:05 +0000 2013,that's what i thought too but he's making that face which automatically makes me think JAILBAIT
Tue Dec 17 12:05:59 +0000 2013,"""if you get any closer to jungkook you're gonna get jailbaited"" goodbye"
Tue Dec 03 03:24:32 +0000 2013,cries because jailbait are a thing but sometimes they're so cute hIGHSCHOOL BOYS
Mon Dec 02 23:24:43 +0000 2013,@queenaox life summed up really #jailbait ting #sarcasuM
Thu Dec 05 23:45:14 +0000 2013,RT @OO7TH: i think some of these young girls like being jailbait.
Wed Dec 04 04:49:32 +0000 2013,I just remembered that your going to be jailbait in 21 days for me . #sadtweet
Tue Dec 03 21:11:05 +0000 2013,Macs line of jailbait crying over a sarcy comment ahaha
Tue Dec 03 16:59:42 +0000 2013,@MagiKFred bro do i gotta give you the jailbait speech? haha
Mon Dec 09 23:22:28 +0000 2013,Ahh poor Juice.. I actually can't watch #SonsOfAnarchy #jailbait
Tue Dec 31 15:59:41 +0000 2013,"knew id lose a follower for that one, she jailbait anyway."
Wed Jan 01 05:08:00 +0000 2014,"RT @SisterTrinity: Men who use ""jailbait"" in all seriousness are rapists."
Tue Dec 10 19:56:15 +0000 2013,Well at least the high schoolers in Safeway find me attractive... #jailbait
Tue Dec 17 21:14:01 +0000 2013,RT @glasscandies: i can't call myself jailbait anymore n that makes me sadder than it should
Wed Dec 04 21:13:21 +0000 2013,Gotta hit the mall for some shoes later. Better not be packed with jailbait
Mon Dec 30 01:36:47 +0000 2013,RT @Teen_mound_pics: #jailbait #whitecottonpanties http://t.co/IhwL4OB2v5
Tue Dec 03 07:55:01 +0000 2013,I'm not really Jailbait cause nobody would rape me. Not even child molesters
Sun Dec 22 20:09:29 +0000 2013,@eunicesmendoza if you got a new face you wouldnt be the acceptable jailbait that you already are.
Tue Dec 24 06:00:22 +0000 2013,@brenden_stiller ever been called jailbait? It actually really sucks ha.
Tue Dec 17 05:50:10 +0000 2013,@MireyaBravo15 that's some jailbait shit you really want me to get locked up 😒💥🔫
Wed Jan 01 03:36:11 +0000 2014,why is he sitting with the jailbait anyway because i'm about 90% positive that's him with that ridiculous rocker hair
Fri Dec 13 22:45:13 +0000 2013,RT @selfiesuk: #teen #jailbait #pussy http://t.co/1fs2qYFF9q
Thu Dec 19 01:22:45 +0000 2013,RT @selfiesuk: Stunning #jailbait #youngslut http://t.co/JHboDHLsrM
Sun Dec 08 21:21:57 +0000 2013,The problem with being an undergrad in your fifth year is that most girls on campus become #jailbait. #RaiseYourMinimumAgeForAdmissionsAUB
Mon Dec 16 04:58:21 +0000 2013,RT @selfiesuk: #youngteen #jailbait #fuckable http://t.co/rVqVckxPq3
Tue Dec 17 15:12:07 +0000 2013,Lmao when grown men ask me what my name is my cousin says jailbait ! Lol
Thu Dec 05 01:03:04 +0000 2013,"I wonder if there's a teacher at my school and he/she immediately thought ""Yup, Jailbait"" when they look at a student."
Fri Dec 06 03:30:35 +0000 2013,"#thefamily #cocaine #houston whose down for some cocaine ,hit me up with your jailbait friend @Allanlopez97"
Sat Dec 14 09:47:00 +0000 2013,RT @selfiesuk: #youngteen #jailbait #fuckable http://t.co/rVqVckxPq3
Sat Dec 14 07:50:32 +0000 2013,@hashtagboo @R34lover And those Durham guys👊👊 I got towns against him mothafucka #jailbait #bitch
Mon Dec 02 04:10:20 +0000 2013,@JaquanSupporter @ChadVuitton lol #jailbait lol lbvs lmaoo 😂😂😂 jk
Sun Dec 01 21:38:41 +0000 2013,I'M GOING TO BE 18 IN 12 DAYS!!!! and the end of the era of jailbait countdown begins.
Mon Dec 23 04:49:19 +0000 2013,RT @selfiesuk: #teen #justsaying #jailbait http://t.co/4lDYm9U7or
Sun Dec 22 13:26:15 +0000 2013,Also came across this jailbait @thorpe100100 http://t.co/EzV5FyXvIr
Thu Dec 19 22:35:07 +0000 2013,10 days till a certain member of BTS is no longer jailbait!! Icnw
Wed Dec 25 15:05:07 +0000 2013,#jailbait noo ;) nice gif.. yes #gif #tropical #threesome #fantasy
Wed Dec 11 21:45:07 +0000 2013,"Dno why but I really wanty go to Romania, even though it sounds jailbait as fuck"
Thu Dec 12 05:24:51 +0000 2013,“@BlackIcePaige: Missing the black ice jailbait Maisy and Kii” miss u more😔
Sun Dec 15 21:53:51 +0000 2013,RT @aldazabala: My July birthday is bitchin and all but being the youngest out of my friends blowssss #youngin #jailbait
Fri Dec 20 10:53:43 +0000 2013,#FriskyFriday #jailbait #teen @clubsexxx @xhotteensx @Mirror_girls69 http://t.co/OaWPuthmPX
Sat Dec 28 05:50:02 +0000 2013,"Foto: Jailbait, you’re a saint. A goddess, even. http://t.co/RKvATXJN8d"
Mon Dec 02 00:53:55 +0000 2013,"just got called a 'jailbait' haha thanks man, but do i really look that young"
Wed Dec 25 22:12:41 +0000 2013,✿ World of webcam all pretty girls... http://t.co/tA67hV2vRt | #Webcam #Jailbait
Fri Dec 13 13:20:19 +0000 2013,RT @BeamJim71: “@selfiesuk: #cutie #nakedselfshot #teen #jailbait http://t.co/UQqgSZmAZm”
Sun Dec 15 11:33:44 +0000 2013,RT @selfiesuk: #cute #nakedselfie #naughtyschoolgirl #jailbait #teen http://t.co/JWg03iinqE
Wed Dec 18 03:26:58 +0000 2013,Who needs to sing in key when you have Jesus? #Jesus #blessed #jailbait http://t.co/zOdpVOl6Ct
Mon Dec 02 07:56:53 +0000 2013,RT @jailbaitxxx: #masterbationmonday #jailbait #schoolies #UKTeens @RealAva_Group http://t.co/WcV4mPFgp0
Wed Dec 04 21:10:48 +0000 2013,Middle America: Where you can be a Milf and jailbait at the same time. http://t.co/8w2FaTErKY by @DeanOkay
Fri Dec 27 16:03:52 +0000 2013,@MitchRidsdale @annabeldeann shame you don't do jailbait Mitch cos I thought you was gona be da one for me💔💔
Sun Dec 01 18:27:48 +0000 2013,JAILBAIT VS NILLIONAIRE VS PARADISE: http://t.co/q52vTJuE53 via @youtube
Tue Dec 17 03:58:59 +0000 2013,“@Kay_1314: @_celiiii 13!? You look a good 17 in that picture 😩” I've been jailbait for a while now lmfao
Fri Dec 20 20:06:55 +0000 2013,"RT @hechulbilir: ""@selfiesuk: #cute #nakedselfie #naughtyschoolgirl #jailbait #teen http://t.co/QMD8iajPDV"""
Thu Dec 05 22:17:37 +0000 2013,Bet nae cunt on what happened in kavos smashed their balcony door @bobrabboaby biggest jailbait in kavos
Fri Dec 06 02:04:28 +0000 2013,RT @jailbaitxxx: #MasturbationMonday #jailbait #schoolies #UKTeens #SexyAsFuck @RealAva_Group http://t.co/LH8oi5PPEf
Sat Dec 14 12:20:23 +0000 2013,#SexySaturday #jailbait #teen #SexyAsFuck @clive230262 @pcooky64 @PornoBrazil @FitAsFuckGirls http://t.co/7LHvIu4oyO
Sun Dec 22 19:48:00 +0000 2013,Can't wait to graduate just to come back and hook up with all the girls still in highschool #dedicated #jailbait @Borgore
Fri Dec 06 12:51:38 +0000 2013,I liked a @YouTube video http://t.co/OXZSoBs5FS Let's Play HIGH SCHOOL STORY - JAILBAIT
Fri Dec 06 13:14:06 +0000 2013,@jack_millard14 @HarryHortz fuck off mills I'll buy you some condoms for the little girls you like;) ahaha jailbait lover
Thu Dec 12 17:47:00 +0000 2013,All my friends are either 21 or going to be 21 this next year and I'm just over here like 21 in 2015. #jailbait
Mon Dec 23 13:15:17 +0000 2013,RT @jailbaitxxx: #MagicMonday #jailbait #teen #schoolie #selfie #BigNaturals http://t.co/8RHc7nzwlF
Mon Dec 16 15:12:04 +0000 2013,#MagicMonday #jailbait #teen #sexybody @clive230262 @pcooky64 @PornoBrazil @FitAsFuckGirls http://t.co/B8J3zl1sMp
Thu Dec 26 07:20:15 +0000 2013,RT @jailbaitxxx: #MagicMonday #jailbait #teen @clive230262 @pcooky64 @PornoBrazil @FitAsFuckGirls http://t.co/189I9jSdY0
Sun Dec 15 23:08:48 +0000 2013,RT @jailbaitxxx: #SexySunday #jailbait #teen @RealAva_Group @SexlsArt @UKAmateursx @iamobelisk2 http://t.co/UF0OAsA8Xy
Fri Dec 20 11:10:45 +0000 2013,RT @jailbaitxxx: #FriskyFriday #jailbait #teen @clive230262 @pcooky64 @PornoBrazil @FitAsFuckGirls http://t.co/MjW8EDo8v3
Fri Dec 20 21:59:42 +0000 2013,RT @jailbaitxxx: #TittyTuesday #jailbait #teen @DesireLust1 @clubsexxx @xhotteensx @Mirror_girls69 http://t.co/RGpjsnAEHX
Tue Dec 17 07:13:38 +0000 2013,RT @JokeBlogger: Middle America: Where you can be a Milf and jailbait at the same time. http://t.co/8w2FaTErKY by @DeanOkay
