created_at,text
Fri Oct 18 06:49:49 +0000 2013,I'm watching Jailbait http://t.co/4IYUBkdkiR #GetGlue #Jailbait
Tue Oct 29 22:04:57 +0000 2013,Jailbait? — No one is jailbait for me cuz I'm under 18 http://t.co/V5tOQQtfwM
Sat Oct 19 21:27:47 +0000 2013,Amateur Hot Jailbait Teens – Jailbait Gallery -  http://t.co/yzugYpYm4n
Tue Oct 15 04:34:48 +0000 2013,"#jailbait  Cute webcam kittens, Hot Jailbait ! http://t.co/lxPirjx7NO #teens"
Mon Oct 07 20:45:49 +0000 2013,a total jailbait too
Thu Oct 17 16:51:55 +0000 2013,@ThatFatCow jailbait!
Mon Oct 14 22:13:00 +0000 2013,@DatFryRice with all that jailbait
Sat Oct 19 22:47:28 +0000 2013,jailbaits everywhere.....
Sat Oct 26 20:40:15 +0000 2013,@MJBailey12xo #16 #jailbait
Thu Oct 03 03:40:18 +0000 2013,@jailbaiting np :))) how tall are you
Thu Oct 17 00:35:46 +0000 2013,I banged your cougar when she was jailbait
Wed Oct 09 19:47:47 +0000 2013,@NeverNaiveAbbey miss you too Jailbait!
Sun Oct 27 04:25:22 +0000 2013,"lol I'm jailbait, remember that.  🚨🚓"
Wed Oct 16 02:26:05 +0000 2013,4'7-4'9 is clearly jailbait...
Thu Oct 03 04:42:00 +0000 2013,RT @FreckleGod: Rt if you're jailbait
Tue Oct 29 23:21:53 +0000 2013,New twitters jailbait for favouriting
Tue Oct 22 02:38:25 +0000 2013,@taehyungsv who's the jailbait in ur dp?
Mon Oct 14 19:36:55 +0000 2013,The mall is full of jailbait #fuckedup
Tue Oct 29 01:50:18 +0000 2013,CAN I B JAILBAIT FOREVER???
Tue Oct 29 05:04:55 +0000 2013,"@chetmanly86 Dr. Manly, into jailbait are we?"
Sat Oct 26 03:06:52 +0000 2013,@TheThorde with this jailbait probably XD
Fri Oct 25 20:14:53 +0000 2013,@Venables_JR NO FIGHTING jailbait! #Youngen
Wed Oct 09 14:18:23 +0000 2013,"This girl's hat says ""Jailbait""..................."
Sun Oct 27 03:23:13 +0000 2013,Someone help David he's hitting on jailbait.
Tue Oct 15 02:10:43 +0000 2013,@MAlexPeterson these bitches be tricky... #itsatrap #jailbait
Wed Oct 23 13:34:56 +0000 2013,Can't believe Lorde is only 16 #jailbait #newzealand
Wed Oct 16 20:51:31 +0000 2013,Good lord there so much jailbait out there these days...
Wed Oct 09 12:05:34 +0000 2013,#JailBait @ http://t.co/Sc35TGkvZ9
Wed Oct 09 18:42:09 +0000 2013,#JailBait @ http://t.co/95nTz27CqA
Fri Oct 18 20:23:44 +0000 2013,Quite a few cuties are doing this.  I think half of them are jailbait though :/
Wed Oct 02 18:21:11 +0000 2013,@HMcQuade he's in safe hands but Jamie's definitely jailbait.
Tue Oct 29 13:04:59 +0000 2013,One of the best things about uni is the absence of jailbait
Tue Oct 29 21:44:57 +0000 2013,lool buzzin for motion jailbait tomorrow night
Mon Oct 21 10:33:13 +0000 2013,JAILBAIT CHRIS http://t.co/UopPEPVfdq
Sun Oct 06 01:50:54 +0000 2013,“@ThornmunDaDL: Why all the fine ones so young...#JailBait!! :(”lmao
Tue Oct 01 21:13:44 +0000 2013,@chicclown we dont need to like any of them cause jailbait
Wed Oct 02 03:42:55 +0000 2013,"Why is @CP_WINK  jailbait? When you're 17, I'm making you my boyfriend. You have no say in this."
Sun Oct 06 21:16:52 +0000 2013,@Queen_Arrived @Mawaputa I'll see what I can do jailbait lol
Sat Oct 19 02:53:45 +0000 2013,JAILBAIT  — LMFAO sorry http://t.co/Ja4Rq65Z52
Sun Oct 27 02:22:54 +0000 2013,RT @blaney83: She's no bad for a 14 year ald #JailBait
Sun Oct 20 06:14:06 +0000 2013,jaden smith is to hot to be 15. #ishouldntsaythat #jailbait #ifeellikeaperv
Tue Oct 22 01:54:32 +0000 2013,The only people who ever want me are all over 20 oh😅 #jailbait #oops
Thu Oct 24 21:37:41 +0000 2013,RT @KingGr33n: Some of these girls need to introduce themselves with ID #jailbait
