created_at,text
Fri Nov 29 22:02:05 +0000 2013,I'm jailbait
Sat Nov 30 21:08:15 +0000 2013,i'm jailbait
Fri Nov 01 21:41:28 +0000 2013,@Phoebe_flyss @ConnorFGuitar yes but jailbait is still jailbait for a reason! #youngan!
Mon Nov 11 02:28:14 +0000 2013,Warning: Jailbait
Wed Nov 13 20:04:30 +0000 2013,Here come the jailbaits
Tue Nov 12 01:11:57 +0000 2013,"jailbait, smh."
Wed Nov 20 21:59:54 +0000 2013,its only jailbait if its worth it
Wed Nov 20 13:53:13 +0000 2013,TEST: JAILBAIT
Sun Nov 24 16:56:13 +0000 2013,That jailbait life
Sat Nov 16 18:12:03 +0000 2013,Jailbait everywhere.
Sun Nov 17 00:51:54 +0000 2013,Too bad your jailbait
Sun Nov 10 21:38:25 +0000 2013,Jailbait little sluts
Wed Nov 06 00:20:17 +0000 2013,@spankyourhams do you mean jailbait
Wed Nov 06 22:24:51 +0000 2013,@imashbuttons @TheLewdist here's more jailbait than I am.
Sun Nov 17 06:18:26 +0000 2013,Jailbait. That's just how we roll
Sun Nov 10 01:38:04 +0000 2013,@MattyGuwop thanks jailbait
Sun Nov 10 06:13:42 +0000 2013,lol you're still jailbait
Thu Nov 07 18:08:37 +0000 2013,@USAF_Catt Says the jailbait 😂
Mon Nov 18 16:31:48 +0000 2013,JAILBAIT OOHHH HA HA
Sun Nov 03 02:37:33 +0000 2013,At least I won't be called jailbait anymore..
Tue Nov 05 20:43:56 +0000 2013,Omg she's still jailbait lOLOLO
Thu Nov 14 07:36:40 +0000 2013,former 'mate asking where the jailbait at
Thu Nov 14 23:36:32 +0000 2013,@peanutgomezz @A2_Underground jailbait. Js.
Sat Nov 23 03:06:46 +0000 2013,@finchlynch @jennyvsjenny from jailbait to milf.
Fri Nov 22 10:29:48 +0000 2013,"The jailbaits are becoming ridiculous, eeesh"
Thu Nov 14 03:43:39 +0000 2013,Why you gotta be so young?! 😭😫 lol #jailbait
Fri Nov 08 08:17:58 +0000 2013,"@karinamylene you've got all the jailbait. 

Big pimpin'"
Tue Nov 12 01:53:57 +0000 2013,RT @sexC_LexxC: Jailbait trippin lol
Tue Nov 12 06:29:22 +0000 2013,RT @rothavy: NUNA IS JAILBAIT #indirectsfordays
Tue Nov 26 15:35:06 +0000 2013,@LisaLeysen LOST PROPHETS JAILBAIT SQUAD.
Tue Nov 26 18:11:32 +0000 2013,@FR3SH_AZ_IM_IZz  your profile pic is so basic jailbait.
Wed Nov 27 04:58:08 +0000 2013,@puma_kai HE IS JAILBAIT AND THAT IS ALL THAT I WILL SA Y
Tue Nov 05 06:31:35 +0000 2013,"someone called me ""jailbait"" today...yikesss"
Sat Nov 30 02:16:11 +0000 2013,@SirCodyJones @maceybanks @BroookeShepley @HeyItsMistyDawn jailbait!!!
Sun Nov 24 23:42:53 +0000 2013,azn hunnie jailbait. why does this always hapen
Wed Nov 06 21:07:02 +0000 2013,@katekatherinef @BJ_Ricci I like #jailbait better
Thu Nov 14 06:48:02 +0000 2013,Got me feelin like jailbait when I'm legal shiiiit.
Tue Nov 26 12:28:45 +0000 2013,Lol he said the older they look the younger they are. #JAILBAIT
Sun Nov 17 20:08:04 +0000 2013,Its that time of week where I once again state that Tamera should not be 16. #Jailbait
Mon Nov 04 23:03:07 +0000 2013,"Kendall Jenner is no longer jailbait, I call dibs."
Tue Nov 05 14:57:59 +0000 2013,@mayveees @FollowElsee 🔨💣🔫🔪 pick your weapon jailbait
Fri Nov 01 21:11:32 +0000 2013,@DaroRangers away you..lol your feckin jailbait..lol
Sat Nov 23 00:02:03 +0000 2013,Jailbait — wats that http://t.co/qqzjhlTHy5
Tue Nov 19 21:39:38 +0000 2013,"Rampid Ronaldo , ahahahah what a jailbait thing to say"
Thu Nov 07 01:55:08 +0000 2013,@__Alexsandra I just got called jailbait again wat
Mon Nov 11 02:28:11 +0000 2013,Good 🙌 “@That_boy_MEAT: Jailbait is my only saints fan on my TL”
Thu Nov 14 04:33:19 +0000 2013,@johnjennings3 tollerance break. 2 days free jailbait
Fri Nov 01 23:13:49 +0000 2013,I wonder if oomf knows that the girl he talks to is jailbait... #SucksForHim
Wed Nov 06 20:52:18 +0000 2013,RT @nwembridge: Me Kirsty n Mirrin are jailbait xxxxx
Wed Nov 13 04:51:04 +0000 2013,@vprado98 and it would read jailbait instead of your name lmao 😂😂😋
Fri Nov 08 12:31:43 +0000 2013,@kayjdh hurhur funny how maknae is the manliest hoho hello jailbait
Tue Nov 26 09:17:09 +0000 2013,@_Sannny HAHA i think you're right!! from 16-18 we were both jailbait 😭
Wed Nov 20 19:54:04 +0000 2013,"My jailbait side came out tonight, cried at Hannah Montana the movie"
Tue Nov 05 17:12:03 +0000 2013,@KriszWings hahaha lol.. Nooo maybe he has a thing for jailbaits who knows ;)
Thu Nov 14 18:02:16 +0000 2013,"RT @LaGynuh: I just called @eloise_____ a ""little piece of jailbait"""
Sun Nov 03 22:15:25 +0000 2013,RT @pumpkiim: kendall jenner is no longer jailbait I call dibs
Sun Nov 03 22:36:56 +0000 2013,RT @pumpkiim: kendall jenner is no longer jailbait I call dibs
