created_at,text
Mon Apr 13 19:12:07 +0000 2015,@JumperTheSosh jailbait
Wed Apr 22 04:39:09 +0000 2015,@bedaddys more like jailbait
Sat Apr 04 00:29:36 +0000 2015,"You're Jailbait, and I just can't wait"
Tue Apr 14 00:36:54 +0000 2015,@danielbroon its jailbait the way you spelled that
Fri Apr 17 08:35:45 +0000 2015,"""Jailbait you are...Tell no one, you must."""
Fri Apr 03 23:02:28 +0000 2015,@acex222_2 don't you dare call her jailbait
Fri Apr 03 18:45:05 +0000 2015,“@ayethatsscotty: I'm jailbait I'm sorry 😭😭”
Tue Apr 07 00:26:56 +0000 2015,㊙️ - twitter's waviest jailbait
Sat Apr 18 04:58:11 +0000 2015,Jailbait. https://t.co/eGdAONqpno
Thu Apr 30 07:31:13 +0000 2015,RT @bigpoppapayno: this just in: emily is jailbait
Thu Apr 30 18:05:19 +0000 2015,RT @wildandkyung: @wildandkyung is this the jailbait dream?
Wed Apr 22 14:18:42 +0000 2015,@smrookies STOP POSTING PICTURES OF JAILBAITS
Mon Apr 13 05:53:21 +0000 2015,Meant to tell jailbait the cakes are very live.
Tue Apr 07 20:48:56 +0000 2015,@SprinklyNips Pardon? Tis slang my jailbait friend.
Sat Apr 04 20:22:03 +0000 2015,Jailbait BF https://t.co/2P71NyeXgE
Fri Apr 03 23:53:52 +0000 2015,The jailbait house party need to shut the fuck up.
Wed Apr 08 08:05:42 +0000 2015,if she doesn't know the best time to wear a striped sweater then she jailbait
Sat Apr 11 02:00:55 +0000 2015,@GaydarVibes @sexual_lesbian @OreoLez you are jailbait! I'm just warning Sexual! That's all lol
Tue Apr 21 23:25:17 +0000 2015,RT @weecockman: Jailbait #cuties http://t.co/jUKgBZfKlJ
Tue Apr 21 08:03:48 +0000 2015,"@UuaanPewo @Hyper_Yume i admire his goal, unless they hella jailbait for him w"
Tue Apr 21 22:51:01 +0000 2015,"RT @SexyTeensFeed: #retweet if you would.
 #jailbait http://t.co/arkJfFp64X"
Tue Apr 21 15:52:07 +0000 2015,@EdinHodzic6_ happy birthday ☺️ congratulations on no longer being jailbait 😏
Thu Apr 02 00:18:39 +0000 2015,birthday in 5 hours. I'LL FINALLY BE LEGAL. lawls. i'll miss being jailbait..
Thu Apr 02 01:40:41 +0000 2015,"RT @Go2Slp: You call it jailbait, I call it a girl scout cookie."
Fri Apr 10 13:46:47 +0000 2015,"RT @Denmotoracer: Beautiful #jailbait nipples!!
 http://t.co/r6LUvlXaNo"
Fri Apr 10 12:56:09 +0000 2015,RT @Denmotoracer: Sexy as fuck #jailbait http://t.co/fe8vugGmEi
