created_at,text
Sat Jun 09 22:31:49 +0000 2012,Damn. Jailbait parched af
Sat Jun 09 22:09:53 +0000 2012,RT @dlydon80: Where are all those jailbaits attt? #watsgood
Sat Jun 09 06:21:18 +0000 2012,"Wow, did these two really just ask me to have a threesome? #Jailbait"
Sun Jun 10 04:53:38 +0000 2012,RT @JforJadeee: @KGOD_ #jailbait
Sun Jun 10 03:02:27 +0000 2012,#jailbait
Sat Jun 09 10:52:12 +0000 2012,"@deanskeltonn hahaahha sit the fuck down you buttaz sket. awh, miss you jailbait xoxoooxoxxo"
Sun Jun 10 00:37:07 +0000 2012,Drinking a Jailbait by @badmojobrew at @TripelB — http://t.co/6Cu61t7C
Sun Jun 10 00:55:26 +0000 2012,You're sexy af but ur 17... I can't ! #JailBait :-\
Sat Jun 16 22:02:15 +0000 2012,That nigga clay is jailbait.. Aha
Sat Jun 16 18:03:22 +0000 2012,Apparently someone Googled 'Jailbait at Disneyworld' and got my blog as a result
Sat Jun 16 06:13:07 +0000 2012,RT @ChodeStroker51: @The_Akron_Ham @HannahhC_ #jailbait
Sat Jun 16 12:36:55 +0000 2012,#xxx #porn #hardcore My Sisters 12th Grade Friend Has Wanted My Dick Since She Was Jailbait  http://t.co/hhnoDPmm
Sun Jun 17 04:16:58 +0000 2012,@TayMacKenziee is the sexiest neighbor I could ever ask for #jailbait
Sun Jun 17 03:07:56 +0000 2012,RT @LickHerJUICES_: @Hollywood_SoFly Y'all gonna have to stay in Columbus &amp; fuck with us though. Even if they jailbait. Lol. &lt;-- Smh! Lol
Sat Jun 16 08:46:55 +0000 2012,#ImSingleBecause; all my fans are jailbait. LOL.
Sun Jun 17 00:17:13 +0000 2012,@ChinnyChris the Gavin slowly approaches the jailbait or beliebers whilst they enjoy their twilight movie. He is the perfect predator #loveu
Sat Jun 16 19:04:46 +0000 2012,Im too old to be considered jailbait anymore
Sat Jun 16 13:38:15 +0000 2012,Seventeen and a half is still jailbait. http://t.co/a5dfSwbs
Sat Jun 16 13:30:39 +0000 2012,I liked a @YouTube video http://t.co/F122w1zL jailbait warrior at it again
Sat Jun 16 16:27:37 +0000 2012,Jailbait bro.
Sat Jun 23 18:19:22 +0000 2012,http://t.co/kn7M7obq blonde jailbait blonde jailbait boob
Sat Jun 23 11:23:37 +0000 2012,Jailbaits everywhere
Sat Jun 23 23:17:48 +0000 2012,Holy shit..... That is the oldest looking 13 year old that I have ever seen in my whole entire life.... #jailbait
Sat Jun 23 21:36:48 +0000 2012,@MattPearce12 well hurry up!! when's your birthday you big hunk'a jailbait?? #disappointment
Sat Jun 23 14:44:49 +0000 2012,@PimpWENN @FutureFlashback Or they enjoy the easy source of jailbait
Tue Jun 12 18:33:07 +0000 2012,"@isabelsctt omfg #busted ""I do like jailbait and I am here to cause trouble"""
Wed Jun 13 01:33:56 +0000 2012,#Ibaka is a sexy ass man! But...he's jailbait! Damn little boy!
Wed Jun 13 01:05:38 +0000 2012,"real shit! lol RT @LordJazer: @MattyNeu Looks 12, and is ONLY 16. Jailbait shit right there."
Wed Jun 13 01:58:22 +0000 2012,"@JimmyPop92 I wouldn't do that for 4 reasons, 1) I'm not gay 2) I'm jailbait 3) you're old and nasty 4) who are you!?"
Wed Jun 13 04:18:14 +0000 2012,There's a 6 year old kid who has a crush on me on my street . It's so fucking cute but hun I'm not a babysitter #jailbait
Tue Jun 12 08:42:09 +0000 2012,@Taylor2210 fucking jailbait!!
Tue Jun 12 23:12:48 +0000 2012,"who the fuck is this olly riley kid, he needs stabbing for wanting to see jailbaits asses?.. twat"
Tue Jun 12 21:38:49 +0000 2012,@xSakura_Haruno Is she jailbait? LOL
Tue Jun 12 21:07:04 +0000 2012,"“@lereesen: Nival_M @Dhersh_C Covered the basics in grade 8.” •The basics could score you some jailbait, if you're into that type of thing•"
Wed Jun 13 00:54:58 +0000 2012,#JailBait
Mon Jun 25 22:46:09 +0000 2012,@MAXxXKINGS91 jailbait comment on that post on the Facebook group just now #plentyofpals
Mon Jun 25 18:38:52 +0000 2012,@charlottelou_xx I love jailbait... That's why I tweeted JB declaring my love!
Tue Jun 26 04:26:42 +0000 2012,@pincheZach ....Possibly... Lol and was the #JailBait needed?
Tue Jun 26 04:42:50 +0000 2012,"I like being a minor
#jailbait"
Mon Jun 25 20:46:37 +0000 2012,"@aurel_p lol, tt de suite le jailbait. Pff... :)"
Mon Jun 25 11:20:11 +0000 2012,http://t.co/MHY8D3da blonde jailbait blonde jailbait boob
Mon Jun 25 11:14:35 +0000 2012,"@MizzRuby_x 

Oh yeah what you up to jailbait x"
Tue Jun 26 03:26:05 +0000 2012,"@Executnr @WWE @WWEUniverse ""because America loves hot, white, jailbait ass!"" seriously though lol... she's blonde, she's thin... hollaholla"
Tue Jun 26 03:21:03 +0000 2012,people who are under 18 but look of age should need to walk around with some kind of name tag or funny hat. #jailbait
Tue Jun 26 03:48:07 +0000 2012,lmao daaamn he a jit! #JailBait lol RT @BlowMyyMind “@SADITYsoSAVAGE how old u turning? RT (cont) http://t.co/Gb9YDRC1
Tue Jun 26 03:22:17 +0000 2012,"@ShanAfuckingA_ wait it is?! I didn't know xD whoops...girls I see a lot but only one guy! Oh 15...more young jailbait on my timeline, lol!"
Mon Jun 25 21:18:59 +0000 2012,"@bryonyhill_ I hope you're joking, I will not tell my 13 year old brother, THE Bryony Hill that he fantasizes, over 'loves him', #jailbait"
Mon Jun 25 17:49:17 +0000 2012,cody simpson's jailbait 😔👎
Tue Jun 26 00:26:10 +0000 2012,"@Pro_tease not every girl younger than you is jailbait fam,if she was under your height I may get the confusion but... @CutieZan"
Wed Jun 06 15:45:41 +0000 2012,Jailbait
Wed Jun 06 18:12:30 +0000 2012,"Wickford = takeaways, weed and jailbait"
Wed Jun 06 06:31:37 +0000 2012,RT @alexissonfiire: jailbait.
Wed Jun 06 07:27:25 +0000 2012,"#ThatAkwardMoment when you keep thinking how good someone looks, and how bad u want emm , Whole Time they like 16 -______- #JailBait"
Wed Jun 06 20:04:57 +0000 2012,"RT @jack_penfold: Wickford = takeaways, weed and jailbait"
Wed Jun 06 08:12:50 +0000 2012,http://t.co/k7DiAQmo nude country girl jailbait lesbian
Wed Jun 06 23:51:03 +0000 2012,"@snapbacktwat Oh my god, they can't make him to community service he'll get mobbed by crazy jailbait :o"
Wed Jun 06 13:49:15 +0000 2012,Niñas de selectividad por la facultad... JailBait
Wed Jun 06 16:08:52 +0000 2012,http://t.co/YzOh5i4N jailbait models hairy ariel reb
Sun Jun 24 22:52:47 +0000 2012,This girl walked up and asked for my #. me:how old are you? Her:14 me:if u don't get tf up out my face.a nigga cnt get shit from u! Jailbait
Mon Jun 25 05:07:43 +0000 2012,You're 15 years old and you're trying to look 20 with a wonder bra. #jailbait #babybacksmuts
Mon Jun 25 05:15:41 +0000 2012,#JailBait 😘
Sun Jun 24 18:59:48 +0000 2012,@Deas_Cailin I'm trying to..twitter is where it's all at these days!! Still waiting on a tweet from Harry styles tho #jailbait
Sun Jun 24 12:30:20 +0000 2012,Jail bait cringe cringe hahaha just lol #jailbait #gimp
Mon Jun 25 01:02:40 +0000 2012,@NatInChains Jailbait?
Mon Jun 25 04:31:22 +0000 2012,Jailbait titties &lt;&lt;&lt;
Mon Jun 25 03:15:07 +0000 2012,"RT @erikacaggiano: Petey ""Gets With Jailbait"" Conti #PeteyNicknames"
Sun Jun 24 23:06:16 +0000 2012,@FukkBrandon yuuuup #jailbait
Sun Jun 24 19:18:07 +0000 2012,#oomf is jailbait &gt;_&gt;
Sun Jun 24 16:15:20 +0000 2012,@HannahhShears oh fuckoff #jailbait xx
Fri Jun 29 05:31:47 +0000 2012,Oomf likes jailbait
Fri Jun 29 05:14:04 +0000 2012,@Dae_Lim remember walking down the hall calling all the freshmen jailbait? #missthat
Thu Jun 28 18:34:56 +0000 2012,@Alyssa_Ritz @MitchNYM @lomomarlins #Jailbait IMO
Thu Jun 28 12:33:17 +0000 2012,"Urban Decay *Limited Edition Container* Lipstick in ""Jailbait"" -BNIB!- (Free Shipping) http://t.co/PjNmFgn4"
Thu Jun 28 07:27:13 +0000 2012,@KhairulAqmal Its A Jailbait :0
Thu Jun 28 07:13:55 +0000 2012,fuck i sound like a jailbait
Thu Jun 28 23:39:13 +0000 2012,@lidalssx it's cause you're so hot. #jailbait ;)
Thu Jun 28 21:30:57 +0000 2012,@hoepuh is it any good? is there loads if jailbait :L xx
Thu Jun 28 21:42:42 +0000 2012,#ICantDateYou  if u still go to VBS #jailbait
Thu Jun 28 19:53:44 +0000 2012,"@foreveryagirl @NY_Triniman @RedThunder_Sp08 @SeeMoeNay @surfacedtruth @walkland09 DAMN! LIKE THAT, JAILBAIT?"
Wed Jun 20 05:08:46 +0000 2012,@darn_that_tiff ... jailbait. Lol
Wed Jun 20 01:45:25 +0000 2012,She wants that jailbait (: ha
Tue Jun 19 20:44:23 +0000 2012,#Jailbait RT @Alyssa_Ritz IT IS SO HOT IN MY ROOM
Tue Jun 19 11:25:30 +0000 2012,この夏嵐を巻き起こす注目のバンドthe Jailbait ＞RT
Wed Jun 20 03:10:50 +0000 2012,RT @magnus_taylor: Old people do not like to lose... #jailbait #championshipgametomorrow
Tue Jun 19 23:39:21 +0000 2012,Jailbait reveal yourselves!
Tue Jun 19 13:12:28 +0000 2012,Mixed Cuties Vol.10 (296P) http://t.co/2ASfsCqA #anarchy #jailbait
Tue Jun 19 16:42:09 +0000 2012,IM LEGAL! A BIG F U TO ANYONE WHO HAS EVER CALLED ME #JAILBAIT #LOOKATMENOW
Fri Jun 22 18:51:47 +0000 2012,@haay_suge so I just found out that chachi has an instagram #likeshit and I'm currently creepin #shitisshestill16 #jailbait #lezzbehonest ?!
Fri Jun 22 07:53:35 +0000 2012,@soya621 This sounds like an incredibly bad idea OTL Do you plan on stealing Areum and jailbait while you're at it?
Fri Jun 22 07:44:46 +0000 2012,@littleEvajass JAILBAIT! RUN!!!!
Fri Jun 22 23:17:04 +0000 2012,"“@SamsEdition: I thought I was in a pub? This looks more like the Early Learning Centre. #jailbait :-S”
BAAAHAHAHAHAHA!!"
Fri Jun 22 13:09:28 +0000 2012,Veronica (69P) http://t.co/b1JKoqg7 #anarchy #jailbait
Fri Jun 22 16:46:07 +0000 2012,It happening! After almost 3 years I’m deleting the ‘Best of SYTYCD’ ep from my DVR. Bye @Allisonholker &amp; Jailbait Ivan http://t.co/b8XAm7iA
Sat Jun 02 05:43:12 +0000 2012,"I would like to send love to my guilty pleasure, a.k.a jailbait @EmmaaHeartt"
