created_at,text
Sun Mar 31 18:45:22 +0000 2013,@PhillyBeach93 I just took the simple route with jailbait again so w/e.
Sun Mar 31 12:11:48 +0000 2013,@uberchrome i checked your profile. you're 16 and jailbait http://t.co/DrgvoTFv6N
Mon Apr 01 04:10:17 +0000 2013,RT @sluttynurse_kat: @mick8thCir No longer JAILBAIT: http://t.co/uJObnTkhZg
Mon Apr 01 04:48:39 +0000 2013,RT @IMiKWeN: @Coco_Bare @alexandria_717 #jailbait
Sun Mar 31 11:50:05 +0000 2013,jailbait itu apa pak????
Sun Mar 31 21:42:51 +0000 2013,i dont get why olders love hitting up placies were the jailbaits at
Sun Mar 31 17:08:36 +0000 2013,It's slyly funny watching old guys move to jailbait then try shuffle when they find out their age
Sat Mar 09 07:31:13 +0000 2013,RT @Hanoi_Jane: Jailbait everywhere.
Sat Mar 09 17:30:59 +0000 2013,Ive never been called jailbait by a doctor until today #thatsafirst
Sat Mar 16 22:56:22 +0000 2013,RT @PlatinimStatis: Easily one of the top 5 helpless moments of my life. I caint do the jailbait bruhs.
Sun Mar 17 03:49:33 +0000 2013,"RMFT!!!!!!!!! ""@ZaylaDeAndrea: Tara gone get one of these old perverted ass niggas locked up #JailBait lmao smh"""
Sun Mar 17 02:41:56 +0000 2013,Gymnist Claire http://t.co/mfYOxbgO9c #jailbait #jb #forum
Sat Mar 16 13:12:54 +0000 2013,"Sehun, you are a jailbait ! that is all .."
Sat Mar 23 15:06:28 +0000 2013,#teen #naked #pussy #fuck #sexchat Cute jailbait girl Helen from Los Angeles stripping on webcam – amateur video clip http://t.co/cETKHpiR6Y
Sun Mar 24 05:07:14 +0000 2013,@xo_carolyn #jailbait
Sun Mar 24 04:23:50 +0000 2013,@AmenaFaye @Huntermoore jailbait
Tue Mar 12 12:17:54 +0000 2013,#JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait #JailBait
Wed Mar 13 02:02:53 +0000 2013,“@_Erika_Nicole: Jailbait. #js”🙏🙏🙏🙏
Wed Mar 13 02:01:46 +0000 2013,@cotman13 @2turnt_comer @widomaker22 it happened ill admit. but im not about that shit.. i dont like jailbait bro.
Wed Mar 13 02:37:37 +0000 2013,"RT @lanecia29: @ElectroPartyDR @Avicii @PAVevents @MDEVENTO #AviciienRD Levels, Three Million, Nicktim, Jailbait, Fade Intro Darkness, S ..."
Tue Mar 12 13:17:59 +0000 2013,@claypotricee i--i dohnut knowwww ;____; idk but defs maybe 17 at the oldest? Couldn't be younger than 16 though ......so still jailbait sob
Tue Mar 26 02:04:46 +0000 2013,Basically what I'm tryna say is you have a month left till you become jailbait
Tue Mar 26 00:24:31 +0000 2013,@_Shad0wMoses @coecoechanel people who say their motive for starting a band is music are either lying... or lying. it's jailbait pussy
Mon Mar 25 19:07:46 +0000 2013,RT @danny_dh: Judgement day #prayformurgie #jailbait http://t.co/pjCyI4jkMW
Thu Mar 07 02:26:50 +0000 2013,I wish my friends would stop trying to be my brother's friend and stop trying to flirt with him. #hedoesntlikeyou #stop #jailbait
Thu Mar 07 04:56:27 +0000 2013,@ppanagopoulos11 @retro_spidey hahahahaha @sIr_swarLes #jailbait #alwaysaskforproof
Thu Mar 07 00:10:22 +0000 2013,#LT #Jailbait at its finest
Thu Mar 07 00:55:46 +0000 2013,RT @BasedHooper_22: jailbait
Thu Mar 07 03:33:37 +0000 2013,@theGolfBoyy You can say jailbait again... Nice! We did a fundraiser to duct tape our university president to a wall. $1 = 1 piece of tape
Wed Mar 06 22:38:27 +0000 2013,@_YhurLove143 of course Sugar Daddy! 🙆🙆🙆🙆 #jailbait
Wed Mar 06 20:15:15 +0000 2013,It's a FUCKING LESBIAN JAILBAIT HOLY FUCK! http://t.co/gQtIFh7irr
Sun Mar 24 12:23:00 +0000 2013,RT @chanyeolsbutt: chachi the ultimate jailbait http://t.co/kE0uh2Affy
Mon Mar 25 01:55:07 +0000 2013,RT @Ham_Tornado: I feel like it's essential to fight teenage obesity because there's nothing worse in the entire world than wasted jailbait.
Sun Mar 24 09:59:32 +0000 2013,Girls you would go to jail for thread. Inb4 jailbait.
Sun Mar 24 21:04:57 +0000 2013,"""You're jailbait to me"" hahahah omg Alex to funny 😂"
