created_at,text
Wed Apr 09 15:54:43 +0000 2014,"""Going after that jailbait 👍"""
Wed Apr 09 22:58:56 +0000 2014,"Jailbait http://t.co/1BPyhN1jJ1"""
Thu Apr 10 03:19:33 +0000 2014,lllooolllll im just thinkin like beniaoba where beni is total jailbait and aobs just like meh but i'd hit it
Thu Apr 10 02:33:25 +0000 2014,"RT @TheBigDomCooke: @jakeemery3 Izzie Powell, resetting her password might put you in jail #CT #Jailbait"
Thu Apr 10 00:42:37 +0000 2014,haha now passing on the jailbait magnet to @BurntJigglypuff
Wed Apr 09 19:50:33 +0000 2014,RT @EddieHalfordBDH: Corrosion Of Conformity Vote With A Bullet #exclusive #video http://t.co/0YIQ3wqsFJ #COC #xboxcod #jailbait #UltimateW…
Wed Apr 09 13:26:35 +0000 2014,RT @YouWillJizz: Naughty school girl ass! (RT for a follow) #Selfie #Jailbait http://t.co/XUaTHdYtLV
Wed Apr 09 13:18:37 +0000 2014,#AssWednesday #Ass #jailbait #Thong #Flirt http://t.co/lurokn1gqq
Thu Apr 17 05:12:31 +0000 2014,RT @aleemarisol: RT! “@pura_viidaa: I look like jailbait” lmaooo
Wed Apr 16 12:27:12 +0000 2014,RT @ukgirlsxxx: #jailbait #schoolgirls #teen #UkSlags http://t.co/Ne6nOmPXjH
Wed Apr 16 07:19:39 +0000 2014,S/o to every girl who has #underage or #jailbait in their bio. You make life easier.
Wed Apr 16 14:05:47 +0000 2014,2/2 #jailbait #nfcu #carsale  @hornconservativ @Lover_of_Legs @leglover76 @timetocreep @tskJtsk @92Tongo @hmbored http://t.co/bD1Cwpzkxh
Thu Apr 17 00:34:12 +0000 2014,Can jailbait and Alex just become a duo? Nothing is more perfect than their voices together.
Wed Apr 16 16:43:24 +0000 2014,RT @The0nlyJazzo: “@HerQueen_: i didn't realize i followed so much jailbait 😣 where did all these young hoes come from??” 😭😭
Thu Apr 24 01:26:25 +0000 2014,I'm on my jailbait grind tonight. #notlegal #wannabe18 ❤️❤️
Wed Apr 23 07:41:58 +0000 2014,@GreatGavsby @ShyannSurber ya ur older ShyannSurber I'm 17 until October 😂😂 #jailbait in college next year 😏😏
Wed Apr 23 23:59:25 +0000 2014,RT @YouWillJizz: Selfie time! =P  #Selfie #jailbait #naked #boobs http://t.co/ZvfFn2kGxN
Wed Apr 23 23:11:54 +0000 2014,RT @YouWillJizz: Selfie time! =P  #Selfie #jailbait #naked #boobs http://t.co/ZvfFn2kGxN
Thu Apr 24 02:57:32 +0000 2014,Jailbait (9/11) Movie CLIP - Meet Chuck Clopperman (2000) HD http://t.co/vDUEIlNH0t
Thu Apr 24 02:18:09 +0000 2014,haha jailbait is not an endearing term stop that stop calling urself a pedonoona. just. stop.
Wed Apr 23 21:08:21 +0000 2014,"RT @666angeI: i'm called ""jailbait"" on a daily basis"
Thu Apr 24 00:22:24 +0000 2014,RT @YouWillJizz: Selfie time! =P  #Selfie #jailbait #naked #boobs http://t.co/ZvfFn2kGxN
Wed Apr 23 19:29:11 +0000 2014,RT @YoungJailbait: Just a regular school-girl ^^ #cute #jailbait #sexy http://t.co/xD449JEYuz
Wed Apr 23 16:02:37 +0000 2014,#rpg Jailbait #1 en español http://t.co/gp8nJIPDuM
Sat Apr 12 15:48:35 +0000 2014,i'm going to keep count of how many times i am called jailbait in my display name
Sat Apr 12 18:17:55 +0000 2014,"Well looking @ the bright side, I wont go to jail for coming onto this hot 17yr old jailbait @ the wiltern. Lol #5sos http://t.co/fxPEi3YIfw"
Sat Apr 12 07:04:05 +0000 2014,RT @Teen_mound_pics: #mound #leggings #chav #gap #tummy #slut #jailbait born to please http://t.co/uHXjvQ0kwR
Sat Apr 12 08:12:00 +0000 2014,RT @TalkToJust4You: My Phone layout of today enjoy the hot jailbait teen xxxxx http://t.co/Qx3sl7TyeS
Sun Apr 13 02:04:09 +0000 2014,RT @Teen_mound_pics: #mound #tits #panties #gap #selfie #jailbait http://t.co/fztfETA95M
Sun Apr 13 02:04:19 +0000 2014,And pg13-jailbait
Sat Apr 12 17:13:15 +0000 2014,RT @Lillipore: Trying to create the perfect mix of southern white trash meets jailbait cholita for my summer look 👼
Fri Apr 25 15:36:03 +0000 2014,Any guys over 30 want some loving? Lol hmu for my location and hopefully we're close #jailbait #young #teen #boobs #sex
Fri Apr 25 15:25:11 +0000 2014,"RT @SnapchatSlut_: Selfshot http://t.co/vmfVU7EC5C
#selfshot #teen #xxx #mofos #ilikegirlsdaily #bangbros #jailbait http://t.co/K4fYVF9x3V"
Fri Apr 25 06:21:21 +0000 2014,"RT @SnapchatSlut_: http://t.co/vmfVU7EC5C
#pussy #ass #porn #selfshot #snapchatslut #pornhub #jailbait http://t.co/sK43i0S00F"
Fri Apr 25 06:22:46 +0000 2014,"RT @SnapchatSlut_: http://t.co/vmfVU7EC5C
#pussy #ass #porn #selfshot #snapchatslut #pornhub #jailbait http://t.co/sK43i0S00F"
Fri Apr 25 09:20:02 +0000 2014,RT @YouWillJizz: Selfie time! =P  #Selfie #jailbait #naked #boobs http://t.co/ZvfFn2kGxN
Fri Apr 25 23:45:48 +0000 2014,#jailbait yMzsmE5GB! check out http://t.co/8jCMVIrsl0 #TripleShine
Fri Apr 25 19:37:18 +0000 2014,Jailbait
Sun Apr 06 15:10:01 +0000 2014,RT @FanSelinagomez: @justinbieber #jailbait #selfie #teen :)
Sun Apr 06 15:39:04 +0000 2014,"RT @cheneechee: NAM JU HYUK 
K-PLUS ROOKIE MODEL
FEBRUARY 22、1994
94 LINER
FROM BUSAN
SPORTY

Jailbait http://t.co/aaS7s47e8q"
Sun Apr 06 15:51:18 +0000 2014,Golden Maknae? More like evil devil smexy bias ruiner maknae to me. I I I I LOATH YOU JAILBAIT!
Sun Apr 06 22:10:25 +0000 2014,RT @YouWillJizz: RT If you like what you see! (Following everyone that Retweet's this =P) - @YouWillJizz ) #Selfie #Jailbait http://t.co/Wl…
Sun Apr 06 06:57:47 +0000 2014,"@metaatat jailbait xD pertama nntn katafai aku mlh lngsng gak sneng dek ju. Bar kepo trnyta umure 15 and I was like: Dek ju km keren bat :""("
